context_id,budget,target_agent,self_match,within_match_mean,cross_match_mean,within_drop,cross_drop,n_within,n_cross,n_target_candidates
longmemeval::f0853d11,512,A_react,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::f0853d11,512,A_plan,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::f0853d11,512,A_cot,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::gpt4_6ed717ea,512,A_react,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::gpt4_6ed717ea,512,A_plan,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::gpt4_6ed717ea,512,A_cot,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::a3838d2b,512,A_react,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::a3838d2b,512,A_plan,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::a3838d2b,512,A_cot,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::gpt4_93159ced,512,A_react,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::gpt4_93159ced,512,A_plan,0.0,0.0,0.5,0.0,-0.5,2,2,3
longmemeval::gpt4_93159ced,512,A_cot,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::6613b389,512,A_react,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::6613b389,512,A_plan,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::6613b389,512,A_cot,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::gpt4_1a1dc16d,512,A_react,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::gpt4_1a1dc16d,512,A_plan,0.0,0.5,0.0,-0.5,0.0,2,2,3
longmemeval::gpt4_1a1dc16d,512,A_cot,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::gpt4_fe651585,512,A_react,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::gpt4_fe651585,512,A_plan,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::gpt4_fe651585,512,A_cot,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::c8090214_abs,512,A_react,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::c8090214_abs,512,A_plan,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::c8090214_abs,512,A_cot,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::gpt4_a56e767c,512,A_react,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::gpt4_a56e767c,512,A_plan,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::gpt4_a56e767c,512,A_cot,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::d851d5ba,512,A_react,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::d851d5ba,512,A_plan,0.0,0.0,0.0,0.0,0.0,2,2,3
longmemeval::d851d5ba,512,A_cot,0.0,0.0,0.0,0.0,0.0,2,2,3
