context_id,budget,setting,mean_jaccard,mean_sbert,n_pairs
longmemeval::f0853d11,128,within:A_react,0.31432748538011696,0.4802328646183014,3
longmemeval::f0853d11,128,within:A_plan,0.30977687320970904,0.48984456062316895,3
longmemeval::f0853d11,128,within:A_cot,0.448921448921449,0.5969532330830892,3
longmemeval::f0853d11,128,cross:A_react_vs_A_plan,0.3956701974260634,0.5856960283385383,9
longmemeval::f0853d11,128,cross:A_react_vs_A_cot,0.3801061996786543,0.5642675591839684,9
longmemeval::f0853d11,128,cross:A_plan_vs_A_cot,0.3588750001309587,0.5519695116413964,9
longmemeval::gpt4_6ed717ea,128,within:A_react,0.14700248756218906,0.44371577103932697,3
longmemeval::gpt4_6ed717ea,128,within:A_plan,0.6918809728887249,0.8947199583053589,3
longmemeval::gpt4_6ed717ea,128,within:A_cot,0.3414027492974861,0.686927596728007,3
longmemeval::gpt4_6ed717ea,128,cross:A_react_vs_A_plan,0.2569218889144467,0.5813922451602088,9
longmemeval::gpt4_6ed717ea,128,cross:A_react_vs_A_cot,0.2734956772031736,0.604448096619712,9
longmemeval::gpt4_6ed717ea,128,cross:A_plan_vs_A_cot,0.40443323527161323,0.745035727818807,9
longmemeval::a3838d2b,128,within:A_react,0.18343508343508344,0.2703040714065234,3
longmemeval::a3838d2b,128,within:A_plan,0.42153949337047925,0.5557384093602499,3
longmemeval::a3838d2b,128,within:A_cot,0.306807322800703,0.5892653365929922,3
longmemeval::a3838d2b,128,cross:A_react_vs_A_plan,0.28353913769683053,0.47894178413682514,9
longmemeval::a3838d2b,128,cross:A_react_vs_A_cot,0.23202538412507975,0.5019529345962737,9
longmemeval::a3838d2b,128,cross:A_plan_vs_A_cot,0.27704448436666806,0.5647788710064359,9
longmemeval::gpt4_93159ced,128,within:A_react,0.22945845004668533,0.5495875477790833,3
longmemeval::gpt4_93159ced,128,within:A_plan,0.5981518412912937,0.8060402075449625,3
longmemeval::gpt4_93159ced,128,within:A_cot,0.4234583688547883,0.6269393165906271,3
longmemeval::gpt4_93159ced,128,cross:A_react_vs_A_plan,0.3077312626543127,0.5873624814881219,9
longmemeval::gpt4_93159ced,128,cross:A_react_vs_A_cot,0.32813943061019324,0.6381552649868859,9
longmemeval::gpt4_93159ced,128,cross:A_plan_vs_A_cot,0.371331756102024,0.620757583114836,9
longmemeval::6613b389,128,within:A_react,0.4078985507246377,0.9279329180717468,3
longmemeval::6613b389,128,within:A_plan,0.6257883270267172,0.9154760042826334,3
longmemeval::6613b389,128,within:A_cot,0.8222222222222223,0.9667660792668661,3
longmemeval::6613b389,128,cross:A_react_vs_A_plan,0.5329374721587671,0.9310581286748251,9
longmemeval::6613b389,128,cross:A_react_vs_A_cot,0.5058148765579107,0.9233102136188083,9
longmemeval::6613b389,128,cross:A_plan_vs_A_cot,0.6855741666887177,0.9275908205244277,9
longmemeval::gpt4_1a1dc16d,128,within:A_react,0.7222222222222223,0.9441951910654703,3
longmemeval::gpt4_1a1dc16d,128,within:A_plan,0.561111111111111,0.8120423356691996,3
longmemeval::gpt4_1a1dc16d,128,within:A_cot,0.564328631138976,0.8316782116889954,3
longmemeval::gpt4_1a1dc16d,128,cross:A_react_vs_A_plan,0.6703933747412009,0.8602432542377048,9
longmemeval::gpt4_1a1dc16d,128,cross:A_react_vs_A_cot,0.6604700854700855,0.891568554772271,9
longmemeval::gpt4_1a1dc16d,128,cross:A_plan_vs_A_cot,0.5666338939902159,0.8212783601548936,9
longmemeval::gpt4_fe651585,128,within:A_react,0.292278563830288,0.3964592044552167,3
longmemeval::gpt4_fe651585,128,within:A_plan,0.5989010989010989,0.8615101178487142,3
longmemeval::gpt4_fe651585,128,within:A_cot,0.46504825489159174,0.7915422916412354,3
longmemeval::gpt4_fe651585,128,cross:A_react_vs_A_plan,0.4513328124073225,0.651687015261915,9
longmemeval::gpt4_fe651585,128,cross:A_react_vs_A_cot,0.46793275650732863,0.6367281725009283,9
longmemeval::gpt4_fe651585,128,cross:A_plan_vs_A_cot,0.5660585091877742,0.832318021191491,9
longmemeval::c8090214_abs,128,within:A_react,0.6554775958718491,0.8208855390548706,3
longmemeval::c8090214_abs,128,within:A_plan,0.2464555052790347,0.6199542085329691,3
longmemeval::c8090214_abs,128,within:A_cot,0.6551357784269176,0.9211329619089762,3
longmemeval::c8090214_abs,128,cross:A_react_vs_A_plan,0.3212721347116076,0.60252359840605,9
longmemeval::c8090214_abs,128,cross:A_react_vs_A_cot,0.6371591067272253,0.839154839515686,9
longmemeval::c8090214_abs,128,cross:A_plan_vs_A_cot,0.3225884251743712,0.6507257620493571,9
longmemeval::gpt4_a56e767c,128,within:A_react,0.36363636363636365,0.7749266624450684,1
longmemeval::gpt4_a56e767c,128,within:A_plan,0.22748960695389264,0.43415965636571247,3
longmemeval::gpt4_a56e767c,128,within:A_cot,0.1463794270245883,0.30150209615627926,3
longmemeval::gpt4_a56e767c,128,cross:A_react_vs_A_plan,0.376194689923986,0.648860032359759,6
longmemeval::gpt4_a56e767c,128,cross:A_react_vs_A_cot,0.12817242997965891,0.3564406068374713,6
longmemeval::gpt4_a56e767c,128,cross:A_plan_vs_A_cot,0.17891565499670367,0.4269234964417087,9
longmemeval::d851d5ba,128,within:A_react,0.16847826086956522,0.5140660305817922,3
longmemeval::d851d5ba,128,within:A_plan,0.25227638171509875,0.4679396450519562,3
longmemeval::d851d5ba,128,within:A_cot,0.5126050420168067,0.5663353800773621,3
longmemeval::d851d5ba,128,cross:A_react_vs_A_plan,0.24684044532503124,0.5214824246035682,9
longmemeval::d851d5ba,128,cross:A_react_vs_A_cot,0.3419722097806541,0.5984355939759148,9
longmemeval::d851d5ba,128,cross:A_plan_vs_A_cot,0.3699352838865948,0.5431926101446152,9
