context_id,budget,setting,mean_jaccard,mean_sbert,n_pairs
locomo::conv-26::0ae3d10c6c,256,within:A_react,0.6159017713365539,0.789581298828125,3
locomo::conv-26::0ae3d10c6c,256,within:A_plan,0.4073631047315258,0.8657464583714803,3
locomo::conv-26::0ae3d10c6c,256,within:A_cot,0.645897435897436,0.9185092250506083,3
locomo::conv-26::0ae3d10c6c,256,cross:A_react_vs_A_plan,0.558933128261835,0.8327360881699456,9
locomo::conv-26::0ae3d10c6c,256,cross:A_react_vs_A_cot,0.577936354028791,0.8341780768500434,9
locomo::conv-26::0ae3d10c6c,256,cross:A_plan_vs_A_cot,0.4876418220823672,0.8908025026321411,9
locomo::conv-30::519c597b79,256,within:A_react,0.6010930905297104,0.9677894314130148,3
locomo::conv-30::519c597b79,256,within:A_plan,0.40187241636516996,0.9186404347419739,3
locomo::conv-30::519c597b79,256,within:A_cot,0.6275430359937402,0.9622950553894043,3
locomo::conv-30::519c597b79,256,cross:A_react_vs_A_plan,0.48763733575551754,0.9373939434687296,9
locomo::conv-30::519c597b79,256,cross:A_react_vs_A_cot,0.6257988897386231,0.9691853258344862,9
locomo::conv-30::519c597b79,256,cross:A_plan_vs_A_cot,0.4592100212970522,0.9321640067630343,9
