context_id,budget,source_agent,target_agent,action_match_self,action_match_cross,task_drop,policy_divergence
locomo::conv-26::0ae3d10c6c,256,A_react,A_plan,0.0,0.0,0.0,0.75
locomo::conv-26::0ae3d10c6c,256,A_react,A_cot,0.0,0.0,0.0,0.75
locomo::conv-26::0ae3d10c6c,256,A_plan,A_react,0.0,0.0,0.0,0.75
locomo::conv-26::0ae3d10c6c,256,A_plan,A_cot,0.0,0.0,0.0,1.0
locomo::conv-26::0ae3d10c6c,256,A_cot,A_react,0.0,0.0,0.0,0.75
locomo::conv-26::0ae3d10c6c,256,A_cot,A_plan,0.0,0.0,0.0,0.75
locomo::conv-30::519c597b79,256,A_react,A_plan,1.0,0.0,1.0,0.75
locomo::conv-30::519c597b79,256,A_react,A_cot,1.0,0.0,1.0,0.75
locomo::conv-30::519c597b79,256,A_plan,A_react,0.0,0.0,0.0,0.75
locomo::conv-30::519c597b79,256,A_plan,A_cot,0.0,0.0,0.0,0.75
locomo::conv-30::519c597b79,256,A_cot,A_react,0.0,0.0,0.0,1.0
locomo::conv-30::519c597b79,256,A_cot,A_plan,1.0,0.0,1.0,0.75
