task_id,family,round,token_category,token_snippet,n_preserved,rate_with_token,rate_without_token,pass_gap,greedy_preserved,greedy_pass,full_success,score
771d8fc_2,ACON_UTCO,CK,jwt_token,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJwaG9uZSs5NTA…,3,1.0,0.2,0.8,False,True,True,2.4
771d8fc_2,ACON_UTCO,CK,kv_pair,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJwaG9uZSs5NTA…,3,1.0,0.2,0.8,False,True,True,2.4
7d7fbf6_2,general_task_agnostic,CK,jwt_token,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJmaWxlX3N5c3R…,3,1.0,0.2,0.8,False,True,False,2.4
7d7fbf6_2,general_task_agnostic,CK,kv_pair,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJmaWxlX3N5c3R…,3,1.0,0.2,0.8,False,True,False,2.4
29caf6f_1,general_task_aware,CK,jwt_token,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJzaW1wbGVfbm9…,4,1.0,0.5,0.5,False,True,False,2.0
29caf6f_1,general_task_aware,CK,kv_pair,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJzaW1wbGVfbm9…,4,1.0,0.5,0.5,False,True,False,2.0
6ea6792_1,ACON_UT,CK,jwt_token,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJ2ZW5tbytuYW5…,4,0.75,0.25,0.5,True,True,False,2.0
6ea6792_1,ACON_UT,CK,jwt_token,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJwaG9uZSsyMzA…,4,0.75,0.25,0.5,True,True,False,2.0
6ea6792_1,ACON_UT,CK,kv_pair,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJ2ZW5tbytuYW5…,4,0.75,0.25,0.5,True,True,False,2.0
aa8502b_1,ACON_UT,CK,jwt_token,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJzcG90aWZ5K3R…,4,0.5,0.0,0.5,True,True,False,2.0
7d7fbf6_3,general_task_agnostic,CK,jwt_token,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJmaWxlX3N5c3R…,5,0.6,0.0,0.6,False,False,False,1.8
7d7fbf6_3,general_task_agnostic,CK,kv_pair,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJmaWxlX3N5c3R…,5,0.6,0.0,0.6,False,False,False,1.8
302c169_2,ACON_UTCO,CK,phone,6727300099,5,0.8,0.0,0.8,True,False,True,1.68
302c169_3,general_task_agnostic,CK,jwt_token,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJwaG9uZSs5NjU…,6,0.8333,0.0,0.8333,True,True,False,1.6667
76f2c72_2,ACON_UT,CK,jwt_token,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJmaWxlX3N5c3R…,6,0.8333,0.0,0.8333,True,True,False,1.6667
27e1026_2,general_task_aware,CK,phone,2023-04-23,4,0.5,0.0,0.5,False,True,False,1.4
27e1026_2,general_task_aware,CK,phone,2023-02-07,3,0.6667,0.0,0.6667,False,True,False,1.4
27e1026_2,general_task_aware,CK,phone,2021-03-23,4,0.5,0.0,0.5,False,True,False,1.4
07b42fd_1,ACON_UTCO,CK,jwt_token,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJzcG90aWZ5K2V…,4,0.75,0.5,0.25,True,True,True,1.0
07b42fd_1,ACON_UTCO,CK,kv_pair,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJzcG90aWZ5K2V…,4,0.75,0.5,0.25,True,True,True,1.0
