experiment,executor,memory_condition,budget,max_iter,n_runs,success_rate,n_success,iters_mean,iters_std,iters_median,iters_min,iters_max,tokens_mean,tokens_std,tokens_median,api_calls_total_mean,api_calls_unique_mean,wrong_endpoint_calls_mean,show_api_doc_calls_mean,efficiency_tax_iters,efficiency_tax_tokens,capability_drop
C_behavior_cost,MiniMaxAI/MiniMax-M2.5,cross_domain,128,8,6,0.0,0,8,0.0,8.0,8,8,38486.0,1272.0,38485.0,8.5,5.67,2.667,2.5,0.0,2935.0,0.0
C_behavior_cost,MiniMaxAI/MiniMax-M2.5,cross_domain,128,15,6,0.5,3,12.17,3.19,12.5,8,15,76451.0,33930.0,74005.0,14.33,7.33,4.333,3.67,2.0,20516.0,0.5
C_behavior_cost,MiniMaxAI/MiniMax-M2.5,cross_domain,128,50,6,1.0,6,13.5,5.68,13.0,8,24,92603.0,66573.0,80506.0,20,8.17,5.167,3.67,0.67,11765.0,0.0
C_behavior_cost,MiniMaxAI/MiniMax-M2.5,cross_domain,256,8,6,0.0,0,8,0.0,8.0,8,8,39056.0,2153.0,38660.0,7,5.83,3.167,2.67,0.17,211.0,0.1667
C_behavior_cost,MiniMaxAI/MiniMax-M2.5,cross_domain,256,15,6,0.3333,2,13.5,2.35,15.0,10,15,80750,17436.0,87129.0,16.5,7.67,5.333,3.67,1.5,7640.0,0.5
C_behavior_cost,MiniMaxAI/MiniMax-M2.5,cross_domain,256,50,6,1.0,6,13,3.74,12.5,9,19,82567,34695.0,78274.0,15.67,8.17,4.5,3.67,-0.83,-8676.0,0.0
C_behavior_cost,MiniMaxAI/MiniMax-M2.5,cross_domain,512,8,6,0.1667,1,7.83,0.41,8.0,7,8,39841.0,2748.0,40090.0,8.5,5.17,3.167,3.33,0.0,2537.0,0.0
C_behavior_cost,MiniMaxAI/MiniMax-M2.5,cross_domain,512,15,6,0.6667,4,12.17,3.31,13.5,8,15,76282.0,27785.0,87022.0,13.83,7.5,3.833,3.67,2.67,22836.0,0.3333
C_behavior_cost,MiniMaxAI/MiniMax-M2.5,cross_domain,512,50,6,1.0,6,18.33,11.76,15.5,9,41,140990,124965.0,105760.0,22.5,8.33,6.333,3.83,5.5,62124.0,0.0
C_behavior_cost,MiniMaxAI/MiniMax-M2.5,matched,128,8,6,0.0,0,8,0.0,8.0,8,8,35551.0,4438.0,36266.0,5.67,4,2.167,2.33,0.0,0.0,0.0
C_behavior_cost,MiniMaxAI/MiniMax-M2.5,matched,128,15,6,1.0,6,10.17,1.47,10.5,8,12,55935.0,15204.0,59521.0,11.67,7.17,3.667,3.67,0.0,0.0,0.0
