experiment,compressor,budget,n_lines,share_api_fact,share_code_pattern,share_other,n_api_fact,n_code_pattern,n_other
D_prompted_code_abstraction,oracle_m_code,128,140,0.1214,0.65,0.2286,17,91,32
D_prompted_code_abstraction,oracle_m_code,256,260,0.1154,0.6462,0.2385,30,168,62
D_prompted_code_abstraction,oracle_m_code,512,378,0.1217,0.6323,0.246,46,239,93
D_prompted_code_abstraction,oracle_m_code,1024,443,0.1242,0.614,0.2619,55,272,116
D_prompted_code_abstraction,prompted_generic,128,430,0.014,0.3628,0.6233,6,156,268
D_prompted_code_abstraction,prompted_generic,256,581,0.0086,0.3941,0.5972,5,229,347
D_prompted_code_abstraction,prompted_generic,512,638,0.0078,0.442,0.5502,5,282,351
D_prompted_code_abstraction,prompted_generic,1024,668,0.006,0.4491,0.5449,4,300,364
D_prompted_code_abstraction,prompted_role,128,503,0.2227,0.3996,0.3777,112,201,190
D_prompted_code_abstraction,prompted_role,256,767,0.236,0.5293,0.2347,181,406,180
D_prompted_code_abstraction,prompted_role,512,879,0.2605,0.5165,0.223,229,454,196
D_prompted_code_abstraction,prompted_role,1024,1129,0.2347,0.5403,0.225,265,610,254
D_prompted_code_abstraction,prompted_task,128,414,0.0048,0.4251,0.57,2,176,236
D_prompted_code_abstraction,prompted_task,256,536,0.0056,0.4925,0.5019,3,264,269
D_prompted_code_abstraction,prompted_task,512,610,0.0148,0.4689,0.5164,9,286,315
D_prompted_code_abstraction,prompted_task,1024,601,0.0067,0.4642,0.5291,4,279,318
D_prompted_code_abstraction,prompted_task_role,128,690,0.3232,0.4029,0.2739,223,278,189
D_prompted_code_abstraction,prompted_task_role,256,1132,0.28,0.5106,0.2094,317,578,237
D_prompted_code_abstraction,prompted_task_role,512,1379,0.2857,0.5047,0.2096,394,696,289
D_prompted_code_abstraction,prompted_task_role,1024,1315,0.2814,0.4989,0.2198,370,656,289
