experiment,executor,axis,budget,n_pairs,jaccard_token_mean,jaccard_token_std,jaccard_token_median,jaccard_token_min,jaccard_token_max,jaccard_unit_mean,jaccard_unit_std,jaccard_unit_median,jaccard_unit_min,jaccard_unit_max
A_hierarchy,MiniMaxAI/MiniMax-M2.5,role,128,498,0.0681,0.0866,0.0377,0.0,0.5,0.0298,0.0609,0.0,0.0,0.2857
A_hierarchy,MiniMaxAI/MiniMax-M2.5,role,256,498,0.088,0.1026,0.0706,0.0,0.7083,0.0238,0.053,0.0,0.0,0.4444
A_hierarchy,MiniMaxAI/MiniMax-M2.5,role,512,498,0.1363,0.1444,0.1069,0.0,0.8793,0.0355,0.0606,0.0,0.0,0.4545
A_hierarchy,MiniMaxAI/MiniMax-M2.5,role,1024,498,0.1451,0.1477,0.1148,0.0,0.8793,0.0455,0.0675,0.0,0.0,0.4545
A_hierarchy,MiniMaxAI/MiniMax-M2.5,strategy,128,144,0.6924,0.189,0.65,0.3182,1.0,0.5203,0.2444,0.5,0.1538,1.0
A_hierarchy,MiniMaxAI/MiniMax-M2.5,strategy,256,144,0.7294,0.1466,0.729,0.22,1.0,0.4708,0.188,0.4375,0.1,1.0
A_hierarchy,MiniMaxAI/MiniMax-M2.5,strategy,512,144,0.6245,0.1688,0.6136,0.2152,1.0,0.4254,0.1855,0.3921,0.0645,1.0
A_hierarchy,MiniMaxAI/MiniMax-M2.5,strategy,1024,144,0.658,0.1564,0.6527,0.2294,1.0,0.4458,0.1809,0.4226,0.1026,1.0
A_hierarchy,MiniMaxAI/MiniMax-M2.5,task,128,13612,0.2621,0.2894,0.1522,0.0,1.0,0.1627,0.2976,0.0,0.0,1.0
A_hierarchy,MiniMaxAI/MiniMax-M2.5,task,256,13612,0.2849,0.2773,0.2239,0.0,1.0,0.1621,0.2856,0.0769,0.0,1.0
A_hierarchy,MiniMaxAI/MiniMax-M2.5,task,512,13612,0.2833,0.2759,0.2065,0.0,1.0,0.1639,0.283,0.0789,0.0,1.0
A_hierarchy,MiniMaxAI/MiniMax-M2.5,task,1024,13612,0.2947,0.2753,0.234,0.0,1.0,0.1648,0.2826,0.0789,0.0,1.0
