experiment,executor,metric,role_pair,n_tasks,n_pair_obs,mean,std,median,min,max
B_multistage,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard_token,OVERALL,18,108,0.0661,0.0676,0.0594,0.0,0.2983
B_multistage,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard_token,plan_tool,18,,0.0639,0.0178,0.0588,0.0404,0.1159
B_multistage,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard_token,plan_code,18,,0.0385,0.0685,0.0,0.0,0.1867
B_multistage,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard_token,plan_verify,18,,0.1476,0.0609,0.15,0.0476,0.2564
B_multistage,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard_token,tool_code,18,,0.0371,0.08,0.0,0.0,0.2983
B_multistage,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard_token,tool_verify,18,,0.0771,0.0213,0.0761,0.0314,0.1111
B_multistage,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard_token,code_verify,18,,0.0323,0.0562,0.0,0.0,0.1556
B_multistage,MiniMaxAI/MiniMax-M2.5,n_entity_tokens,,18,,22.61,8.05,22.5,8,48
B_multistage,MiniMaxAI/MiniMax-M2.5,n_entity_tokens,,18,,137.11,41.66,124.0,83,239
B_multistage,MiniMaxAI/MiniMax-M2.5,n_entity_tokens,,18,,9.22,19.23,0.0,0,69
B_multistage,MiniMaxAI/MiniMax-M2.5,n_entity_tokens,,18,,24.44,5.35,25.5,15,35
