experiment,executor,metric,source,role_pair,budget,n_pairs,mean,std,median,min,max
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,code_plan,128,83,0.0505,0.0728,0.0,0.0,0.2703
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,code_plan,256,83,0.0438,0.062,0.0,0.0,0.2167
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,code_plan,512,83,0.0466,0.0664,0.0,0.0,0.2206
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,code_plan,1024,83,0.0469,0.0663,0.0,0.0,0.2022
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,code_verify,128,83,0.0269,0.0508,0.0,0.0,0.2174
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,code_verify,256,83,0.0416,0.0636,0.0,0.0,0.2222
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,code_verify,512,83,0.0475,0.0687,0.0,0.0,0.2308
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,code_verify,1024,83,0.0493,0.0721,0.0,0.0,0.2381
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,plan_verify,128,83,0.1779,0.1063,0.1471,0.0385,0.5
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,plan_verify,256,83,0.1772,0.1081,0.1667,0.04,0.56
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,plan_verify,512,83,0.1682,0.0958,0.1579,0.0357,0.4915
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,plan_verify,1024,83,0.1682,0.0958,0.1579,0.0357,0.4915
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,tool_code,128,83,0.0088,0.0267,0.0,0.0,0.16
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,tool_code,256,83,0.0155,0.029,0.0,0.0,0.1316
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,tool_code,512,83,0.0304,0.0473,0.0,0.0,0.1609
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,tool_code,1024,83,0.035,0.0545,0.0,0.0,0.22
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,tool_plan,128,83,0.0807,0.0585,0.0769,0.0,0.3438
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,tool_plan,256,83,0.1312,0.0744,0.1167,0.0328,0.4182
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,tool_plan,512,83,0.3109,0.1207,0.3377,0.0864,0.527
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,tool_plan,1024,83,0.3267,0.0665,0.3367,0.1042,0.4444
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,tool_verify,128,83,0.0637,0.0649,0.0526,0.0,0.2812
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,tool_verify,256,83,0.1187,0.132,0.0833,0.0,0.7083
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,tool_verify,512,83,0.2141,0.1607,0.2,0.0,0.8793
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,oracle,tool_verify,1024,83,0.2445,0.1755,0.2258,0.0137,0.8793
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,prompted_task_role,code_plan,128,83,0.0917,0.0517,0.0857,0.0,0.2679
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,prompted_task_role,code_plan,256,83,0.1273,0.0648,0.1169,0.0,0.3438
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,prompted_task_role,code_plan,512,83,0.1481,0.0681,0.1383,0.0377,0.3279
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,prompted_task_role,code_plan,1024,83,0.1464,0.0697,0.141,0.0,0.4699
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,prompted_task_role,code_verify,128,83,0.043,0.0448,0.0333,0.0,0.1818
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,prompted_task_role,code_verify,256,83,0.0726,0.0538,0.0633,0.0,0.2093
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,prompted_task_role,code_verify,512,83,0.0891,0.0563,0.0777,0.0,0.359
D_prompted,MiniMaxAI/MiniMax-M2.5,cross_role_jaccard,prompted_task_role,code_verify,1024,83,0.0828,0.0612,0.0741,0.0,0.3038
