method,budget_max_steps,n_runs,success_rate,avg_steps,avg_total_input_tokens,avg_peak_tokens,avg_api_calls,avg_recovery_calls
full_context,15,30,0.8667,8.87,73651.0,73651.0,7.2,2.27
full_context,8,30,0.4333,6.47,47711.0,47711.0,6.47,2.5
task_aware_summary,15,30,0.7,7.47,38322,38322,4.93,1.77
task_aware_summary,8,30,0.4667,5.33,20775.0,20775.0,5.2,2.27
acon_style_summary,15,30,0.6667,8.43,42483.0,42483.0,5.37,1.3
acon_style_summary,8,30,0.5333,4.87,18034.0,18034.0,4.57,1.73
symbolic_evidence,15,30,0.5667,9.77,47733.0,47733.0,6.07,1.67
symbolic_evidence,8,30,0.3,6.3,25619.0,25619.0,5.9,1.37
wrong_task_symbolic_same_app,15,29,0.2759,13.79,85453.0,85453.0,7.93,2.72
wrong_task_symbolic_same_app,8,29,0.069,7.9,37022.0,37022.0,7.17,2.41
wrong_task_symbolic_cross_app,15,30,0.1667,14.17,83668.0,83668.0,7.93,3.33
wrong_task_symbolic_cross_app,8,30,0.0667,7.93,36310.0,36310.0,7,3.13
no_context,15,30,0.1667,14.33,74943.0,74943.0,7.9,2.9
no_context,8,30,0.0,8,33194.0,33194.0,7.03,2.6
