task_id,span_id,rule_norm,judge_severity,judge_score,final_sensitivity,next_action_type_changed,next_action_arguments_f1_loss,candidate_objects_f1_loss,active_constraints_f1_loss
4fab96f_1,step_002,0.0952,none,0.0,0.0476,0,0.0,0.0,0.0
4fab96f_1,step_004,0.0173,none,0.0,0.0086,0,0.0,0.0,0.0
4fab96f_1,step_001,0.0952,none,0.0,0.0476,0,0.0,0.0,0.0
4fab96f_1,step_005,0.0952,none,0.0,0.0476,0,0.0,0.0,0.0
4fab96f_1,step_006,0.0952,none,0.0,0.0476,0,0.0,0.0,0.0
4fab96f_1,step_007,0.0873,none,0.0,0.0437,0,0.0,0.0,0.0
4fab96f_1,step_008,0.087,none,0.0,0.0435,0,0.0,0.0,0.0
4fab96f_1,step_003,0.6111,none,0.0,0.3055,1,1.0,0.0,1.0
4fab96f_1,step_009,0.0866,none,0.0,0.0433,0,0.0,0.0,0.0
4fab96f_1,step_011,0.0952,none,0.0,0.0476,0,0.0,0.0,0.0
4fab96f_1,step_010,0.0952,none,0.0,0.0476,0,0.0,0.0,0.0
4fab96f_1,step_013,0.0952,none,0.0,0.0476,0,0.0,0.0,0.0
4fab96f_1,step_012,0.0952,none,0.0,0.0476,0,0.0,0.0,0.0
4fab96f_1,step_014,0.0952,none,0.0,0.0476,0,0.0,0.0,0.0
4fab96f_1,step_015,0.0952,none,0.0,0.0476,0,0.0,0.0,0.0
4fab96f_1,step_016,0.0952,none,0.0,0.0476,0,0.0,0.0,0.0
4fab96f_1,step_017,0.087,none,0.0,0.0435,0,0.0,0.0,0.0
4fab96f_1,step_018,0.0952,none,0.0,0.0476,0,0.0,0.0,0.0
4fab96f_1,step_020,0.087,none,0.0,0.0435,0,0.0,0.0,0.0
4fab96f_1,step_021,0.0433,none,0.0,0.0216,0,0.0,0.0,0.0
4fab96f_1,step_023,0.0952,high,1.0,0.5476,0,0.0,0.0,0.0
4fab96f_1,step_019,0.2208,none,0.0,0.1104,0,0.0,0.0,1.0
4fab96f_1,step_022,0.087,none,0.0,0.0435,0,0.0,0.0,0.0
4fab96f_1,step_024,0.0873,none,0.0,0.0437,0,0.0,0.0,0.0
4fab96f_1,step_025,0.0952,none,0.0,0.0476,0,0.0,0.0,0.0
4fab96f_1,step_027,0.0952,none,0.0,0.0476,0,0.0,0.0,0.0
57c3486_3,step_001,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
57c3486_3,step_002,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
4fab96f_1,step_028,0.0787,none,0.0,0.0394,0,0.0,0.0,0.0
4fab96f_1,step_026,0.8961,high,1.0,0.9481,1,1.0,1.0,1.0
4fab96f_1,step_029,0.2381,none,0.0,0.1191,0,0.0,0.0,1.0
57c3486_3,step_003,0.6095,high,1.0,0.8048,1,1.0,1.0,0.0
57c3486_3,step_006,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
57c3486_3,step_004,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
57c3486_3,step_005,0.6095,high,1.0,0.8048,1,1.0,1.0,0.0
57c3486_3,step_007,0.6095,high,1.0,0.8048,1,1.0,1.0,0.0
57c3486_3,step_008,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
57c3486_3,step_009,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
57c3486_3,step_011,0.6095,high,1.0,0.8048,1,1.0,1.0,0.0
57c3486_3,step_010,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
57c3486_3,step_012,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
57c3486_3,step_014,0.6095,high,1.0,0.8048,1,1.0,1.0,0.0
57c3486_3,step_013,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
57c3486_3,step_015,0.6095,high,1.0,0.8048,1,1.0,1.0,0.0
57c3486_3,step_016,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
57c3486_3,step_018,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
57c3486_3,step_017,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
57c3486_3,step_019,0.6095,high,1.0,0.8048,1,1.0,1.0,0.0
57c3486_3,step_022,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
57c3486_3,step_020,0.6095,high,1.0,0.8048,1,1.0,1.0,0.0
57c3486_3,step_021,0.6095,high,1.0,0.8048,1,1.0,1.0,0.0
57c3486_3,step_023,0.6095,high,1.0,0.8048,1,1.0,1.0,0.0
57c3486_3,step_025,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
57c3486_3,step_024,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
57c3486_3,step_026,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
57c3486_3,step_027,0.619,high,1.0,0.8095,1,1.0,1.0,0.0
0d8a4ee_2,step_001,0.6402,high,1.0,0.8201,1,1.0,1.0,0.0
0d8a4ee_2,step_003,0.6402,high,1.0,0.8201,1,1.0,1.0,0.0
0d8a4ee_2,step_004,0.6942,high,1.0,0.8471,1,1.0,1.0,0.0
0d8a4ee_2,step_002,0.7143,high,1.0,0.8572,1,1.0,1.0,0.0
0d8a4ee_2,step_005,0.6942,high,1.0,0.8471,1,1.0,1.0,0.0
0d8a4ee_2,step_006,0.6952,high,1.0,0.8476,1,1.0,1.0,0.0
0d8a4ee_2,step_007,0.6942,high,1.0,0.8471,1,1.0,1.0,0.0
0d8a4ee_2,step_008,0.6931,high,1.0,0.8466,1,1.0,1.0,0.0
57c3486_3,step_028,0.6975,high,1.0,0.8488,1,0.7143,1.0,1.0
0d8a4ee_2,step_009,0.6942,high,1.0,0.8471,1,1.0,1.0,0.0
0d8a4ee_2,step_010,0.6942,high,1.0,0.8471,1,1.0,1.0,0.0
0d8a4ee_2,step_012,0.6931,high,1.0,0.8466,1,1.0,1.0,0.0
0d8a4ee_2,step_011,0.6402,high,1.0,0.8201,1,1.0,1.0,0.0
0d8a4ee_2,step_013,0.6952,high,1.0,0.8476,1,1.0,1.0,0.0
0d8a4ee_2,step_014,0.6942,high,1.0,0.8471,1,1.0,1.0,0.0
