task_id,num_spans,avg_sensitivity,max_sensitivity,min_sensitivity,sensitivity_entropy,top_span_step_ids,top_span_scores
0d8a4ee_2,26,0.8206,0.8572,0.318,3.2483,step_002;step_015;step_006,0.857;0.857;0.848
37a8675_1,24,0.8755,0.881,0.8619,3.178,step_004;step_006;step_007,0.881;0.881;0.881
37a8675_2,25,0.9246,0.9285,0.9082,3.2189,step_001;step_006;step_008,0.928;0.928;0.928
37a8675_3,22,0.0754,0.2679,0.0032,2.7088,step_022;step_016;step_019,0.268;0.260;0.165
383cbac_1,22,0.2066,0.7976,0.0476,2.8289,step_021;step_022;step_016,0.798;0.434;0.424
383cbac_2,16,0.6235,0.9388,0.0905,2.7021,step_015;step_005;step_009,0.939;0.918;0.870
396c5a2_1,17,0.1328,0.9178,0.0068,2.0733,step_017;step_001;step_016,0.918;0.238;0.228
396c5a2_2,16,0.0838,0.7434,0.0053,1.6506,step_016;step_006;step_007,0.743;0.130;0.117
3ab5b8b_1,24,0.1411,0.5285,0.0095,2.8794,step_024;step_001;step_020,0.528;0.268;0.249
4ec8de5_1,17,0.7561,0.9238,0.4107,2.8193,step_017;step_002;step_001,0.924;0.809;0.809
4ec8de5_3,20,0.168,0.881,0.0136,2.5273,step_020;step_001;step_009,0.881;0.429;0.268
4fab96f_1,29,0.1059,0.9481,0.0086,2.579,step_026;step_023;step_003,0.948;0.548;0.305
4fab96f_2,22,0.871,0.881,0.6809,3.0898,step_002;step_003;step_004,0.881;0.881;0.881
50e1ac9_1,19,0.207,0.5381,0.0476,2.7306,step_019;step_003;step_001,0.538;0.443;0.268
530b157_3,25,0.2481,0.881,0.0476,2.9849,step_024;step_013;step_017,0.881;0.443;0.443
57c3486_1,19,0.1144,0.4381,0.0073,2.6594,step_019;step_004;step_012,0.438;0.230;0.151
57c3486_2,21,0.8751,0.881,0.869,3.0445,step_001;step_018;step_013,0.881;0.881;0.877
57c3486_3,28,0.8092,0.8488,0.8048,3.3322,step_028;step_001;step_002,0.849;0.809;0.809
6171bbc_2,20,0.0877,0.9149,0.0095,1.7883,step_019;step_020;step_007,0.915;0.334;0.117
6171bbc_3,18,0.0613,0.1356,0.008,2.5962,step_005;step_009;step_003,0.136;0.136;0.128
68ee2c9_2,16,0.1719,0.9285,0.0222,2.3349,step_016;step_006;step_015,0.928;0.261;0.208
6c2c621_1,22,0.881,0.881,0.881,3.091,step_001;step_002;step_003,0.881;0.881;0.881
6c2c621_2,21,0.8596,0.881,0.8463,3.0444,step_016;step_004;step_007,0.881;0.877;0.877
6c2c621_3,17,0.5966,0.9285,0.5476,2.8191,step_019;step_018;step_004,0.928;0.809;0.643
b119b1f_1,20,0.0966,0.4255,0.0,2.3234,step_020;step_019;step_012,0.425;0.260;0.244
b119b1f_2,25,0.1272,0.4238,0.0095,2.809,step_023;step_014;step_012,0.424;0.405;0.259
d4e9306_1,17,0.1422,0.9074,0.013,1.9814,step_013;step_017;step_005,0.907;0.633;0.134
d4e9306_2,16,0.1252,0.8905,0.0,1.6314,step_015;step_016;step_014,0.890;0.538;0.233
df61dc5_2,18,0.164,0.4428,0.0068,2.6076,step_009;step_005;step_002,0.443;0.399;0.268
fac291d_1,16,0.117,0.7381,0.008,2.07,step_016;step_015;step_004,0.738;0.348;0.143
