task_id,k,n,overlap,expected_random,enrichment
0d8a4ee_2,1,26,1,0.038461538461538464,26.0
0d8a4ee_2,3,26,2,0.34615384615384615,5.777777777777778
0d8a4ee_2,5,26,3,0.9615384615384616,3.12
0d8a4ee_2,10,26,8,3.8461538461538463,2.08
37a8675_1,1,24,1,0.041666666666666664,24.0
37a8675_1,3,24,2,0.375,5.333333333333333
37a8675_1,5,24,3,1.0416666666666667,2.88
37a8675_1,10,24,5,4.166666666666667,1.2
37a8675_2,1,25,1,0.04,25.0
37a8675_2,3,25,2,0.36,5.555555555555555
37a8675_2,5,25,2,1.0,2.0
37a8675_2,10,25,5,4.0,1.25
37a8675_3,1,22,0,0.045454545454545456,0.0
37a8675_3,3,22,0,0.4090909090909091,0.0
37a8675_3,5,22,0,1.1363636363636365,0.0
37a8675_3,10,22,4,4.545454545454546,0.8799999999999999
383cbac_1,1,22,0,0.045454545454545456,0.0
383cbac_1,3,22,0,0.4090909090909091,0.0
383cbac_1,5,22,0,1.1363636363636365,0.0
383cbac_1,10,22,3,4.545454545454546,0.6599999999999999
383cbac_2,1,16,0,0.0625,0.0
383cbac_2,3,16,0,0.5625,0.0
383cbac_2,5,16,2,1.5625,1.28
383cbac_2,10,16,6,6.25,0.96
396c5a2_1,1,17,0,0.058823529411764705,0.0
396c5a2_1,3,17,1,0.5294117647058824,1.8888888888888888
396c5a2_1,5,17,1,1.4705882352941178,0.6799999999999999
396c5a2_1,10,17,5,5.882352941176471,0.85
396c5a2_2,1,16,0,0.0625,0.0
396c5a2_2,3,16,1,0.5625,1.7777777777777777
396c5a2_2,5,16,2,1.5625,1.28
396c5a2_2,10,16,5,6.25,0.8
3ab5b8b_1,1,24,0,0.041666666666666664,0.0
3ab5b8b_1,3,24,0,0.375,0.0
3ab5b8b_1,5,24,1,1.0416666666666667,0.96
3ab5b8b_1,10,24,4,4.166666666666667,0.96
4ec8de5_1,1,17,0,0.058823529411764705,0.0
4ec8de5_1,3,17,2,0.5294117647058824,3.7777777777777777
4ec8de5_1,5,17,3,1.4705882352941178,2.04
4ec8de5_1,10,17,6,5.882352941176471,1.02
4ec8de5_3,1,20,0,0.05,0.0
4ec8de5_3,3,20,0,0.45,0.0
4ec8de5_3,5,20,1,1.25,0.8
4ec8de5_3,10,20,5,5.0,1.0
