section,metric,value
A,global_spearman_primary,-0.2058388960155575
A,global_pearson_primary,-0.0581098834101404
A,median_per_task_spearman,-0.0285439960127647
A,corr_v4_vs_token_count,0.0866132528224797
A,corr_span_gxa_sqrtlen_vs_token_count,0.3577041190030339
A,corr_span_gxa_sqrtlen_vs_step_id,-0.0285850999337998
A,median_top1_enrichment,0.0
A,median_top3_enrichment,1.8333333333333333
A,median_top5_enrichment,1.28
A,median_top10_enrichment,0.96
B,example_cumvar_k4,0.6616216805583527
B,example_cumvar_k8,0.7958756307025285
B,example_cumvar_k16,0.9314138695822796
B,span_cumvar_k4,0.5245239070066252
B,span_cumvar_k8,0.6441485179828893
B,span_cumvar_k16,0.7405615864226943
B,span_cumvar_k32,0.8306676161431484
B,span_cumvar_k64,0.9044268152469784
B,high_v4_cumvar_k4,0.6517174186362538
B,high_v4_cumvar_k8,0.7394823401238861
B,high_v4_cumvar_k16,0.814926476402913
B,high_v4_cumvar_k32,0.880684923617382
B,high_v4_cumvar_k64,0.9352321805269164
B,low_v4_cumvar_k4,0.4824498838803963
B,low_v4_cumvar_k8,0.6083781848455619
B,low_v4_cumvar_k16,0.7285837128099547
B,low_v4_cumvar_k32,0.8381902957522099
B,low_v4_cumvar_k64,0.9236035090246698
C,median_full_loss,0.9928289651870728
C,median_no_loss,1.7861623764038086
C,median_recent_loss,1.3330546021461487
C,median_acon_loss,
C,median_soft_loss_k4,0.08944780752062795
C,median_soft_loss_k8,0.0048548196791671
C,median_soft_loss_k16,0.0003867607883876
C,median_soft_loss_k32,0.00029789721884295004
C,median_soft_loss_k64,0.00026211378281
C,median_soft_gap_recovery_k4,2.2564823931944864
C,median_soft_gap_recovery_k8,2.252172423241217
C,median_soft_gap_recovery_k16,2.2575437341538525
C,median_soft_gap_recovery_k32,2.2575381044221237
C,median_soft_gap_recovery_k64,2.286408229937095
