compressor_model,prompt_variant,budget_chars,fact_type,ausc,n_rounds
minimax,UTCO,1500,ACTION_OUTCOME,4.033333333333333,5
minimax,UTCO,1500,API_SCHEMA_OR_PARAMETER,3.0945945945945947,5
minimax,UTCO,1500,AUTH_OR_ACCESS_TOKEN,1.9605263157894737,5
minimax,UTCO,1500,COMPLETED_SUBTASK,4.0,5
minimax,UTCO,1500,ENVIRONMENT_STATE,5.0,5
minimax,UTCO,1500,EXACT_IDENTIFIER,3.0,5
minimax,UTCO,1500,NARRATIVE_GOAL,4.25,5
minimax,UTCO,1500,NARRATIVE_PROGRESS,3.333333333333333,5
minimax,UTCO,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,1.9482758620689655,5
minimax,UTCO,1500,NUMERIC_OR_DATE_LITERAL,4.416666666666667,5
minimax,UTCO,1500,RUNTIME_VARIABLE,3.5689655172413794,5
qwen,UTCO,1500,ACTION_OUTCOME,2.3333333333333335,5
qwen,UTCO,1500,API_SCHEMA_OR_PARAMETER,1.8108108108108107,5
qwen,UTCO,1500,AUTH_OR_ACCESS_TOKEN,0.5263157894736842,5
qwen,UTCO,1500,COMPLETED_SUBTASK,1.9999999999999998,5
qwen,UTCO,1500,ENVIRONMENT_STATE,5.0,5
qwen,UTCO,1500,EXACT_IDENTIFIER,2.307692307692308,5
qwen,UTCO,1500,NARRATIVE_GOAL,3.125,5
qwen,UTCO,1500,NARRATIVE_PROGRESS,0.9999999999999999,5
qwen,UTCO,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,1.8620689655172415,5
qwen,UTCO,1500,NUMERIC_OR_DATE_LITERAL,1.6666666666666667,5
qwen,UTCO,1500,RUNTIME_VARIABLE,1.8965517241379308,5
