compressor_model,prompt_variant,budget_chars,fact_type,round,hazard,survival_rate
minimax,UTCO,1500,ACTION_OUTCOME,1,0.19999999999999996,0.8
minimax,UTCO,1500,ACTION_OUTCOME,2,1.2499999924031613e-08,0.8
minimax,UTCO,1500,ACTION_OUTCOME,3,-0.04166665364583344,0.8333333333333334
minimax,UTCO,1500,ACTION_OUTCOME,4,0.04000001151999988,0.8
minimax,UTCO,1500,ACTION_OUTCOME,5,1.2499999924031613e-08,0.8
minimax,UTCO,1500,API_SCHEMA_OR_PARAMETER,1,0.32432432432432434,0.6756756756756757
minimax,UTCO,1500,API_SCHEMA_OR_PARAMETER,2,0.10000001331999986,0.6081081081081081
minimax,UTCO,1500,API_SCHEMA_OR_PARAMETER,3,1.6444444250751644e-08,0.6081081081081081
minimax,UTCO,1500,API_SCHEMA_OR_PARAMETER,4,0.022222238301234376,0.5945945945945946
minimax,UTCO,1500,API_SCHEMA_OR_PARAMETER,5,-0.022727255526859613,0.6081081081081081
minimax,UTCO,1500,AUTH_OR_ACCESS_TOKEN,1,0.513157894736842,0.4868421052631579
minimax,UTCO,1500,AUTH_OR_ACCESS_TOKEN,2,0.2432432587874358,0.3684210526315789
minimax,UTCO,1500,AUTH_OR_ACCESS_TOKEN,3,2.7142856406925375e-08,0.3684210526315789
minimax,UTCO,1500,AUTH_OR_ACCESS_TOKEN,4,2.7142856406925375e-08,0.3684210526315789
minimax,UTCO,1500,AUTH_OR_ACCESS_TOKEN,5,2.7142856406925375e-08,0.3684210526315789
minimax,UTCO,1500,COMPLETED_SUBTASK,1,0.16666666666666663,0.8333333333333334
minimax,UTCO,1500,COMPLETED_SUBTASK,2,0.20000000959999997,0.6666666666666666
minimax,UTCO,1500,COMPLETED_SUBTASK,3,-0.24999998125000022,0.8333333333333334
minimax,UTCO,1500,COMPLETED_SUBTASK,4,1.1999999882661427e-08,0.8333333333333334
minimax,UTCO,1500,COMPLETED_SUBTASK,5,1.1999999882661427e-08,0.8333333333333334
minimax,UTCO,1500,ENVIRONMENT_STATE,1,0.0,1.0
minimax,UTCO,1500,ENVIRONMENT_STATE,2,9.999999828202988e-09,1.0
