compressor_model,prompt_variant,budget_chars,fact_type,coarse_group,rank,half_life,final_survival
minimax,UTCO,1500,ENVIRONMENT_STATE,TASK_STATE,1,6,1.0
minimax,UTCO,1500,NARRATIVE_GOAL,NARRATIVE,2,6,0.875
minimax,UTCO,1500,COMPLETED_SUBTASK,TASK_STATE,3,6,0.8333333333333334
minimax,UTCO,1500,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,4,6,0.8333333333333334
minimax,UTCO,1500,ACTION_OUTCOME,EXECUTABLE,5,6,0.8
minimax,UTCO,1500,RUNTIME_VARIABLE,EXECUTABLE,6,6,0.6724137931034483
minimax,UTCO,1500,NARRATIVE_PROGRESS,NARRATIVE,7,6,0.6666666666666666
minimax,UTCO,1500,API_SCHEMA_OR_PARAMETER,EXECUTABLE,8,6,0.6081081081081081
minimax,UTCO,1500,EXACT_IDENTIFIER,EXECUTABLE,9,6,0.5769230769230769
minimax,UTCO,1500,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,10,1,0.3684210526315789
minimax,UTCO,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,11,1,0.3448275862068966
qwen,UTCO,1500,ENVIRONMENT_STATE,TASK_STATE,1,6,1.0
qwen,UTCO,1500,NARRATIVE_GOAL,NARRATIVE,2,6,0.625
qwen,UTCO,1500,EXACT_IDENTIFIER,EXECUTABLE,3,1,0.46153846153846156
qwen,UTCO,1500,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,4,1,0.4166666666666667
qwen,UTCO,1500,ACTION_OUTCOME,EXECUTABLE,5,1,0.4
qwen,UTCO,1500,API_SCHEMA_OR_PARAMETER,EXECUTABLE,6,1,0.36486486486486486
qwen,UTCO,1500,RUNTIME_VARIABLE,EXECUTABLE,7,1,0.3620689655172414
qwen,UTCO,1500,COMPLETED_SUBTASK,TASK_STATE,8,1,0.3333333333333333
qwen,UTCO,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,9,1,0.3275862068965517
qwen,UTCO,1500,NARRATIVE_PROGRESS,NARRATIVE,10,1,0.16666666666666666
qwen,UTCO,1500,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,11,1,0.10526315789473684
