fact_id,case_id,fact_type,passed,needed_condition_mentions_fact,unneeded_condition_mentions_fact,length_match_ok,delta_len_pct,needed_chars,unneeded_chars,elapsed_s,error,reason
0d8a4ee_2.fact0004,0d8a4ee_2,RUNTIME_VARIABLE,True,False,False,True,0.0,97,96,15.427249670028687,,
0d8a4ee_2.fact0002,0d8a4ee_2,RUNTIME_VARIABLE,False,True,True,False,0.691,272,85,16.19209361076355,,
0d8a4ee_2.fact0010,0d8a4ee_2,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.057,135,141,16.4433114528656,,
0d8a4ee_2.fact0006,0d8a4ee_2,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.091,89,83,16.7092125415802,,
0d8a4ee_2.fact0007,0d8a4ee_2,ACTION_OUTCOME,True,False,False,True,0.224,199,155,16.842069149017334,,
0d8a4ee_2.fact0009,0d8a4ee_2,RUNTIME_VARIABLE,False,True,False,True,0.308,208,145,17.230645656585693,,
37a8675_1.fact0015,37a8675_1,NUMERIC_OR_DATE_LITERAL,True,False,False,True,0.211,76,61,15.20706033706665,,
37a8675_1.fact0002,37a8675_1,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.125,129,112,15.448007822036743,,
0d8a4ee_2.fact0008,0d8a4ee_2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,False,False,False,False,0.432,178,103,17.59773325920105,,
37a8675_1.fact0009,37a8675_1,EXACT_IDENTIFIER,False,True,True,True,0.22,166,131,16.364691495895386,,
37a8675_1.fact0008,37a8675_1,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.059,136,130,17.294025182724,,
37a8675_1.fact0003,37a8675_1,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.283,187,135,19.03941297531128,,
37a8675_2.fact0002,37a8675_2,RUNTIME_VARIABLE,True,False,False,True,0.179,158,129,15.517045974731445,,
37a8675_2.fact0015,37a8675_2,EXACT_IDENTIFIER,True,False,False,True,0.029,134,138,17.32709836959839,,
37a8675_1.fact0014,37a8675_1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.324,149,100,18.769633531570435,,
37a8675_1.fact0005,37a8675_1,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.227,71,91,20.00221872329712,,
37a8675_1.fact0013,37a8675_1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.327,220,149,18.756007194519043,,
37a8675_2.fact0014,37a8675_2,EXACT_IDENTIFIER,True,False,False,True,0.111,144,131,17.161368131637573,,
37a8675_2.fact0013,37a8675_2,EXACT_IDENTIFIER,False,False,False,False,0.364,90,59,14.970587968826294,,
37a8675_2.fact0006,37a8675_2,RUNTIME_VARIABLE,True,False,False,True,0.029,136,133,16.677431344985962,,
37a8675_2.fact0011,37a8675_2,RUNTIME_VARIABLE,False,False,False,False,0.444,147,83,18.006580114364624,,
37a8675_2.fact0003,37a8675_2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.347,197,128,17.313210248947144,,
37a8675_2.fact0010,37a8675_2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,False,False,False,False,0.0,0,0,22.721208095550537,,empty_condition_task
383cbac_1.fact0006,383cbac_1,NUMERIC_OR_DATE_LITERAL,True,False,False,True,0.0,272,274,22.49932551383972,,
383cbac_1.fact0001,383cbac_1,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.053,300,285,17.084542751312256,,
383cbac_1.fact0012,383cbac_1,RUNTIME_VARIABLE,True,False,False,True,0.175,254,210,15.933347940444946,,
383cbac_1.fact0014,383cbac_1,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.132,275,238,18.0535991191864,,
383cbac_1.fact0000,383cbac_1,ACTION_OUTCOME,True,False,False,True,0.132,272,236,17.056989908218384,,
383cbac_1.fact0004,383cbac_1,EXACT_IDENTIFIER,True,False,False,True,0.0,188,189,17.22981286048889,,
383cbac_1.fact0010,383cbac_1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.116,175,155,16.294731616973877,,
383cbac_2.fact0011,383cbac_2,ACTION_OUTCOME,True,False,False,True,0.0,150,148,16.70924663543701,,
383cbac_2.fact0005,383cbac_2,ENVIRONMENT_STATE,False,False,False,False,0.0,0,0,22.716700077056885,,empty_condition_task
383cbac_2.fact0008,383cbac_2,RUNTIME_VARIABLE,False,True,False,True,0.156,256,218,20.926414966583252,,
383cbac_2.fact0010,383cbac_2,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.015,266,263,20.912652254104614,,
383cbac_2.fact0009,383cbac_2,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.129,281,246,17.008206844329834,,
383cbac_2.fact0000,383cbac_2,API_SCHEMA_OR_PARAMETER,False,False,False,False,0.0,0,0,22.872143983840942,,empty_condition_task
383cbac_2.fact0002,383cbac_2,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.015,266,260,20.25947642326355,,
383cbac_2.fact0013,383cbac_2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.017,242,236,18.53250527381897,,
383cbac_2.fact0007,383cbac_2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.222,180,143,18.512192726135254,,
396c5a2_1.fact0000,396c5a2_1,EXACT_IDENTIFIER,False,True,False,True,0.083,96,88,19.084351539611816,,
396c5a2_1.fact0011,396c5a2_1,COMPLETED_SUBTASK,False,False,False,False,0.0,0,0,22.648537635803223,,empty_condition_task
396c5a2_1.fact0006,396c5a2_1,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.152,187,158,16.177996397018433,,
396c5a2_1.fact0005,396c5a2_1,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.024,167,163,17.99669313430786,,
396c5a2_1.fact0002,396c5a2_1,API_SCHEMA_OR_PARAMETER,False,False,False,False,0.581,124,54,15.816798448562622,,
396c5a2_1.fact0001,396c5a2_1,EXACT_IDENTIFIER,True,False,False,True,0.259,110,82,17.9557888507843,,
396c5a2_1.fact0003,396c5a2_1,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.167,97,80,16.226957321166992,,
396c5a2_1.fact0009,396c5a2_1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,False,False,False,False,0.394,132,81,14.976909160614014,,
396c5a2_1.fact0008,396c5a2_1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,False,False,False,False,0.545,135,63,16.292781591415405,,
396c5a2_2.fact0000,396c5a2_2,EXACT_IDENTIFIER,True,False,False,True,0.034,113,119,16.355271577835083,,
396c5a2_2.fact0004,396c5a2_2,RUNTIME_VARIABLE,False,False,False,False,0.489,188,97,15.728574991226196,,
396c5a2_2.fact0013,396c5a2_2,COMPLETED_SUBTASK,False,False,False,False,0.455,179,96,18.26822066307068,,
396c5a2_2.fact0007,396c5a2_2,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.208,96,77,17.728940725326538,,
396c5a2_2.fact0005,396c5a2_2,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.071,170,158,15.768120288848877,,
396c5a2_2.fact0006,396c5a2_2,AUTH_OR_ACCESS_TOKEN,True,False,False,True,0.139,147,125,16.189974546432495,,
396c5a2_2.fact0012,396c5a2_2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,True,False,False,True,0.103,158,141,16.469743967056274,,
396c5a2_2.fact0009,396c5a2_2,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.185,88,109,18.44931149482727,,
3ab5b8b_1.fact0004,3ab5b8b_1,NUMERIC_OR_DATE_LITERAL,True,False,False,True,0.316,152,104,15.276049375534058,,
3ab5b8b_1.fact0000,3ab5b8b_1,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.065,185,172,15.140275478363037,,
3ab5b8b_1.fact0012,3ab5b8b_1,RUNTIME_VARIABLE,False,False,False,False,0.409,91,53,15.986521244049072,,
3ab5b8b_1.fact0009,3ab5b8b_1,RUNTIME_VARIABLE,True,False,False,True,0.206,109,137,22.220996618270874,,
3ab5b8b_1.fact0002,3ab5b8b_1,API_SCHEMA_OR_PARAMETER,True,False,False,True,0.161,126,106,16.805299282073975,,
