compressor_model,prompt_variant,budget_chars,fact_type,coarse_group,n_needed,n_unneeded,retain_needed,retain_unneeded,delta_need,score_needed,score_unneeded,delta_need_score,ci_low,ci_high
minimax,UTCO,1500,ACTION_OUTCOME,EXECUTABLE,11,11,0.9090909090909091,0.7272727272727273,0.18181818181818177,0.9454545454545454,0.8,0.1454545454545454,-0.09090909090909094,0.4545454545454546
minimax,UTCO,1500,API_SCHEMA_OR_PARAMETER,EXECUTABLE,35,35,0.8285714285714286,0.8285714285714286,0.0,0.86,0.8514285714285714,0.008571428571428563,-0.17142857142857137,0.17142857142857137
minimax,UTCO,1500,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,39,39,0.5897435897435898,0.46153846153846156,0.1282051282051282,0.6,0.482051282051282,0.11794871794871797,-0.09038461538461535,0.35897435897435903
minimax,UTCO,1500,ENVIRONMENT_STATE,TASK_STATE,1,1,0.0,1.0,-1.0,0.4,1.0,-0.6,-1.0,-1.0
minimax,UTCO,1500,EXACT_IDENTIFIER,EXECUTABLE,13,13,0.6923076923076923,0.6923076923076923,0.0,0.6923076923076923,0.6923076923076923,0.0,-0.3076923076923077,0.3846153846153846
minimax,UTCO,1500,FILE_PATH_OR_RESOURCE_LOCATOR,EXECUTABLE,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
minimax,UTCO,1500,NARRATIVE_GOAL,NARRATIVE,2,2,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
minimax,UTCO,1500,NARRATIVE_PROGRESS,NARRATIVE,5,5,0.8,0.8,0.0,0.8300000000000001,0.75,0.08000000000000007,-0.6,0.4
minimax,UTCO,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,20,20,0.3,0.25,0.04999999999999999,0.36750000000000005,0.25,0.11750000000000005,-0.20000000000000004,0.30000000000000004
minimax,UTCO,1500,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,6,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
minimax,UTCO,1500,RUNTIME_VARIABLE,EXECUTABLE,17,17,0.7647058823529411,0.6470588235294118,0.11764705882352933,0.7647058823529411,0.6470588235294118,0.11764705882352933,-0.17647058823529405,0.4117647058823529
qwen,UTCO,1500,ACTION_OUTCOME,EXECUTABLE,11,11,0.5454545454545454,0.45454545454545453,0.09090909090909088,0.5454545454545454,0.45454545454545453,0.09090909090909088,-0.36363636363636365,0.4545454545454546
qwen,UTCO,1500,API_SCHEMA_OR_PARAMETER,EXECUTABLE,35,35,0.45714285714285713,0.6285714285714286,-0.17142857142857143,0.45714285714285713,0.6285714285714286,-0.17142857142857143,-0.415,0.02857142857142858
qwen,UTCO,1500,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,39,39,0.1282051282051282,0.1282051282051282,0.0,0.1282051282051282,0.1282051282051282,0.0,-0.14166666666666664,0.15384615384615385
qwen,UTCO,1500,ENVIRONMENT_STATE,TASK_STATE,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,UTCO,1500,EXACT_IDENTIFIER,EXECUTABLE,13,13,0.6153846153846154,0.38461538461538464,0.23076923076923078,0.6153846153846154,0.38461538461538464,0.23076923076923078,-0.15384615384615385,0.6153846153846154
qwen,UTCO,1500,FILE_PATH_OR_RESOURCE_LOCATOR,EXECUTABLE,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen,UTCO,1500,NARRATIVE_GOAL,NARRATIVE,2,2,0.5,0.5,0.0,0.5,0.5,0.0,-1.0,1.0
qwen,UTCO,1500,NARRATIVE_PROGRESS,NARRATIVE,5,5,0.2,0.4,-0.2,0.2,0.4,-0.2,-0.7049999999999997,0.39999999999999997
qwen,UTCO,1500,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,20,20,0.4,0.1,0.30000000000000004,0.4,0.1,0.30000000000000004,0.04999999999999999,0.55
qwen,UTCO,1500,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,6,0.5,0.3333333333333333,0.16666666666666669,0.5,0.3333333333333333,0.16666666666666669,-0.33333333333333337,0.6666666666666667
qwen,UTCO,1500,RUNTIME_VARIABLE,EXECUTABLE,17,17,0.47058823529411764,0.47058823529411764,0.0,0.47058823529411764,0.47058823529411764,0.0,-0.3529411764705882,0.35294117647058826
