compressor_model,prompt_variant,budget_chars,round,fact_type,coarse_group,n_facts,survival_rate,survival_score_mean,ci_low,ci_high
minimax,UTCO,1500,1,ACTION_OUTCOME,EXECUTABLE,30,0.8,0.8183333333333334,0.6666666666666666,0.9333333333333333
minimax,UTCO,1500,1,API_SCHEMA_OR_PARAMETER,EXECUTABLE,74,0.6756756756756757,0.6918918918918919,0.581081081081081,0.7837837837837838
minimax,UTCO,1500,1,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,76,0.4868421052631579,0.4921052631578947,0.3815789473684211,0.6052631578947368
minimax,UTCO,1500,1,COMPLETED_SUBTASK,TASK_STATE,6,0.8333333333333334,0.9,0.5,1.0
minimax,UTCO,1500,1,ENVIRONMENT_STATE,TASK_STATE,4,1.0,1.0,1.0,1.0
minimax,UTCO,1500,1,EXACT_IDENTIFIER,EXECUTABLE,26,0.6153846153846154,0.6153846153846154,0.4230769230769231,0.8076923076923077
minimax,UTCO,1500,1,NARRATIVE_GOAL,NARRATIVE,8,0.875,0.84375,0.625,1.0
minimax,UTCO,1500,1,NARRATIVE_PROGRESS,NARRATIVE,12,0.6666666666666666,0.7333333333333334,0.4166666666666667,0.9166666666666666
minimax,UTCO,1500,1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,58,0.4482758620689655,0.453448275862069,0.3275862068965517,0.5689655172413793
minimax,UTCO,1500,1,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,12,1.0,1.0,1.0,1.0
minimax,UTCO,1500,1,RUNTIME_VARIABLE,EXECUTABLE,58,0.7758620689655172,0.789655172413793,0.6724137931034483,0.8793103448275862
minimax,UTCO,1500,2,ACTION_OUTCOME,EXECUTABLE,30,0.8,0.8266666666666667,0.6333333333333333,0.9333333333333333
minimax,UTCO,1500,2,API_SCHEMA_OR_PARAMETER,EXECUTABLE,74,0.6081081081081081,0.6351351351351351,0.5,0.7297297297297297
minimax,UTCO,1500,2,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,76,0.3684210526315789,0.38421052631578945,0.2631578947368421,0.4805921052631576
minimax,UTCO,1500,2,COMPLETED_SUBTASK,TASK_STATE,6,0.6666666666666666,0.7999999999999999,0.3333333333333333,1.0
minimax,UTCO,1500,2,ENVIRONMENT_STATE,TASK_STATE,4,1.0,1.0,1.0,1.0
minimax,UTCO,1500,2,EXACT_IDENTIFIER,EXECUTABLE,26,0.6153846153846154,0.6153846153846154,0.4230769230769231,0.8076923076923077
minimax,UTCO,1500,2,NARRATIVE_GOAL,NARRATIVE,8,0.875,0.875,0.625,1.0
minimax,UTCO,1500,2,NARRATIVE_PROGRESS,NARRATIVE,12,0.6666666666666666,0.7333333333333334,0.4166666666666667,0.9166666666666666
minimax,UTCO,1500,2,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,58,0.39655172413793105,0.4060344827586207,0.27586206896551724,0.5090517241379307
minimax,UTCO,1500,2,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,12,0.8333333333333334,0.9,0.5833333333333334,1.0
minimax,UTCO,1500,2,RUNTIME_VARIABLE,EXECUTABLE,58,0.7241379310344828,0.7448275862068966,0.6206896551724138,0.8275862068965517
minimax,UTCO,1500,3,ACTION_OUTCOME,EXECUTABLE,30,0.8333333333333334,0.8516666666666667,0.7,0.9508333333333325
minimax,UTCO,1500,3,API_SCHEMA_OR_PARAMETER,EXECUTABLE,74,0.6081081081081081,0.6243243243243244,0.5,0.7162162162162162
minimax,UTCO,1500,3,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,76,0.3684210526315789,0.3736842105263158,0.27631578947368424,0.47368421052631576
minimax,UTCO,1500,3,COMPLETED_SUBTASK,TASK_STATE,6,0.8333333333333334,0.9,0.5,1.0
minimax,UTCO,1500,3,ENVIRONMENT_STATE,TASK_STATE,4,1.0,1.0,1.0,1.0
