model,prompt_family,init_type,condition_type,fact_type,ausc,n_rounds
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ACTION_OUTCOME,4.888888888888888,6
minimax,general_task_agnostic,RAW_FULL,task_agnostic,API_SCHEMA_OR_PARAMETER,2.7407407407407405,6
minimax,general_task_agnostic,RAW_FULL,task_agnostic,AUTH_OR_ACCESS_TOKEN,3.4333333333333336,6
minimax,general_task_agnostic,RAW_FULL,task_agnostic,COMPLETED_SUBTASK,7.0,6
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ENVIRONMENT_STATE,7.0,6
minimax,general_task_agnostic,RAW_FULL,task_agnostic,EXACT_IDENTIFIER,5.9375,6
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_GOAL,7.0,6
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_PROGRESS,4.75,6
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,1.583333333333333,6
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NUMERIC_OR_DATE_LITERAL,7.0,6
minimax,general_task_agnostic,RAW_FULL,task_agnostic,RUNTIME_VARIABLE,4.653846153846153,6
minimax,general_task_aware,DETAIL_HEAVY,needed,ACTION_OUTCOME,4.0,6
minimax,general_task_aware,DETAIL_HEAVY,needed,API_SCHEMA_OR_PARAMETER,5.928571428571429,6
minimax,general_task_aware,DETAIL_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,4.6000000000000005,6
minimax,general_task_aware,DETAIL_HEAVY,needed,COMPLETED_SUBTASK,6.333333333333334,6
minimax,general_task_aware,DETAIL_HEAVY,needed,ENVIRONMENT_STATE,7.0,6
minimax,general_task_aware,DETAIL_HEAVY,needed,EXACT_IDENTIFIER,5.916666666666666,6
minimax,general_task_aware,DETAIL_HEAVY,needed,NARRATIVE_PROGRESS,5.5,6
minimax,general_task_aware,DETAIL_HEAVY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,5.0,6
minimax,general_task_aware,DETAIL_HEAVY,needed,NUMERIC_OR_DATE_LITERAL,6.666666666666666,6
minimax,general_task_aware,DETAIL_HEAVY,needed,RUNTIME_VARIABLE,5.125,6
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ACTION_OUTCOME,4.75,6
minimax,general_task_aware,FACT_TABLE_ONLY,needed,API_SCHEMA_OR_PARAMETER,6.928571428571429,6
minimax,general_task_aware,FACT_TABLE_ONLY,needed,AUTH_OR_ACCESS_TOKEN,6.3,6
minimax,general_task_aware,FACT_TABLE_ONLY,needed,COMPLETED_SUBTASK,7.0,6
minimax,general_task_aware,FACT_TABLE_ONLY,needed,ENVIRONMENT_STATE,7.0,6
