model,prompt_family,init_a,init_b,init_fact_jaccard_distance,fin_fact_jaccard_distance,contraction_fact_jaccard,init_type_l1_distance,fin_type_l1_distance,contraction_type_l1
minimax,general_task_aware,DETAIL_HEAVY,FACT_TABLE_ONLY,0.0,0.39798280423280424,39798280.423280425,0.0,0.29189814814814813,29189814.814814817
minimax,general_task_aware,DETAIL_HEAVY,NARRATIVE_HEAVY,0.09060846560846562,0.5201058201058201,22420637.11190476,0.07886904761904762,0.4099867724867725,14880954.645238096
minimax,general_task_aware,DETAIL_HEAVY,RAW_FULL,0.01190476190476191,0.9166666666666666,83333333.91666667,0.011904761904761904,0.4583333333333333,41666666.958333336
minimax,general_task_aware,FACT_TABLE_ONLY,NARRATIVE_HEAVY,0.09060846560846562,0.5322751322751323,13759923.588045636,0.07886904761904762,0.4712962962962963,11051590.394394841
minimax,general_task_aware,FACT_TABLE_ONLY,RAW_FULL,0.01190476190476191,1.0,91666667.25,0.011904761904761904,0.5,45833333.625
minimax,general_task_aware,NARRATIVE_HEAVY,RAW_FULL,0.10251322751322751,1.0,25000005.708333332,0.09077380952380952,0.5,12500003.380753966
qwen,general_task_aware,DETAIL_HEAVY,FACT_TABLE_ONLY,0.024305555555555552,0.2313161375661376,20353836.145502646,0.024305555555555552,0.18035714285714285,16369047.719047619
qwen,general_task_aware,DETAIL_HEAVY,NARRATIVE_HEAVY,0.3014219576719577,0.5486111111111112,4166668.40297619,0.19755291005291006,0.37113095238095234,2619049.465112434
qwen,general_task_aware,DETAIL_HEAVY,RAW_FULL,0.0,1.0,100000000.0,0.0,0.5,50000000.0
qwen,general_task_aware,FACT_TABLE_ONLY,NARRATIVE_HEAVY,0.29794973544973546,0.5519841269841269,2.1432539682539677,0.1996362433862434,0.3947420634920635,2.277628968253968
qwen,general_task_aware,FACT_TABLE_ONLY,RAW_FULL,0.024305555555555552,1.0,83333334.5,0.024305555555555552,0.5,41666667.24999999
qwen,general_task_aware,NARRATIVE_HEAVY,RAW_FULL,0.3014219576719577,0.8333333333333334,8333336.772222222,0.19755291005291006,0.4166666666666667,4166669.1330853174
