chain_id,case_id,target_fact_id,target_fact_type,condition_type,prompt_family,model,init_type,budget_chars,converged,convergence_round,final_round,final_context_chars,final_fact_count,needed_fact_recall_fixed,narrative_fact_recall_fixed,executable_fact_recall_fixed,control_fact_recall_fixed
0d8a4ee_2__0d8a4ee_2.fact0006__needed__general_task_aware__minimax__detail_heavy,0d8a4ee_2,0d8a4ee_2.fact0006,API_SCHEMA_OR_PARAMETER,needed,general_task_aware,minimax,DETAIL_HEAVY,1500,True,6,6,556,4,0.5714285714285714,,0.6666666666666666,0.0
0d8a4ee_2__0d8a4ee_2.fact0006__needed__general_task_aware__minimax__fact_table_only,0d8a4ee_2,0d8a4ee_2.fact0006,API_SCHEMA_OR_PARAMETER,needed,general_task_aware,minimax,FACT_TABLE_ONLY,1500,False,-1,6,411,6,0.8571428571428571,,0.8333333333333334,1.0
0d8a4ee_2__0d8a4ee_2.fact0006__needed__general_task_aware__minimax__narrative_heavy,0d8a4ee_2,0d8a4ee_2.fact0006,API_SCHEMA_OR_PARAMETER,needed,general_task_aware,minimax,NARRATIVE_HEAVY,1500,False,-1,6,775,7,1.0,,1.0,1.0
0d8a4ee_2__0d8a4ee_2.fact0006__needed__general_task_aware__minimax__raw_full,0d8a4ee_2,0d8a4ee_2.fact0006,API_SCHEMA_OR_PARAMETER,needed,general_task_aware,minimax,RAW_FULL,1500,True,-1,6,581,8,0.5714285714285714,,0.5,1.0
0d8a4ee_2__0d8a4ee_2.fact0006__needed__general_task_aware__qwen__detail_heavy,0d8a4ee_2,0d8a4ee_2.fact0006,API_SCHEMA_OR_PARAMETER,needed,general_task_aware,qwen,DETAIL_HEAVY,1500,True,6,6,441,4,0.5714285714285714,,0.6666666666666666,0.0
0d8a4ee_2__0d8a4ee_2.fact0006__needed__general_task_aware__qwen__fact_table_only,0d8a4ee_2,0d8a4ee_2.fact0006,API_SCHEMA_OR_PARAMETER,needed,general_task_aware,qwen,FACT_TABLE_ONLY,1500,False,-1,6,475,6,0.8571428571428571,,0.8333333333333334,1.0
0d8a4ee_2__0d8a4ee_2.fact0006__needed__general_task_aware__qwen__narrative_heavy,0d8a4ee_2,0d8a4ee_2.fact0006,API_SCHEMA_OR_PARAMETER,needed,general_task_aware,qwen,NARRATIVE_HEAVY,1500,True,3,6,506,4,0.5714285714285714,,0.6666666666666666,0.0
0d8a4ee_2__0d8a4ee_2.fact0006__needed__general_task_aware__qwen__raw_full,0d8a4ee_2,0d8a4ee_2.fact0006,API_SCHEMA_OR_PARAMETER,needed,general_task_aware,qwen,RAW_FULL,1500,True,-1,6,356,6,0.42857142857142855,,0.5,0.0
0d8a4ee_2__0d8a4ee_2.fact0006__task_agnostic__general_task_agnostic__minimax__raw_full,0d8a4ee_2,0d8a4ee_2.fact0006,API_SCHEMA_OR_PARAMETER,task_agnostic,general_task_agnostic,minimax,RAW_FULL,1500,True,3,6,504,7,,,1.0,1.0
0d8a4ee_2__0d8a4ee_2.fact0006__task_agnostic__general_task_agnostic__qwen__raw_full,0d8a4ee_2,0d8a4ee_2.fact0006,API_SCHEMA_OR_PARAMETER,task_agnostic,general_task_agnostic,qwen,RAW_FULL,1500,True,4,6,377,5,,,0.8333333333333334,0.0
0d8a4ee_2__0d8a4ee_2.fact0006__unneeded__general_task_aware__minimax__raw_full,0d8a4ee_2,0d8a4ee_2.fact0006,API_SCHEMA_OR_PARAMETER,unneeded,general_task_aware,minimax,RAW_FULL,1500,True,5,6,379,2,,,0.3333333333333333,0.0
0d8a4ee_2__0d8a4ee_2.fact0006__unneeded__general_task_aware__qwen__raw_full,0d8a4ee_2,0d8a4ee_2.fact0006,API_SCHEMA_OR_PARAMETER,unneeded,general_task_aware,qwen,RAW_FULL,1500,True,4,6,672,4,,,0.6666666666666666,0.0
37a8675_1__37a8675_1.fact0015__needed__general_task_aware__minimax__detail_heavy,37a8675_1,37a8675_1.fact0015,NUMERIC_OR_DATE_LITERAL,needed,general_task_aware,minimax,DETAIL_HEAVY,1500,True,3,6,944,5,0.625,,0.5,1.0
37a8675_1__37a8675_1.fact0015__needed__general_task_aware__minimax__fact_table_only,37a8675_1,37a8675_1.fact0015,NUMERIC_OR_DATE_LITERAL,needed,general_task_aware,minimax,FACT_TABLE_ONLY,1500,True,3,6,703,6,0.75,,0.6666666666666666,1.0
37a8675_1__37a8675_1.fact0015__needed__general_task_aware__minimax__narrative_heavy,37a8675_1,37a8675_1.fact0015,NUMERIC_OR_DATE_LITERAL,needed,general_task_aware,minimax,NARRATIVE_HEAVY,1500,True,4,6,668,3,0.375,,0.5,0.0
37a8675_1__37a8675_1.fact0015__needed__general_task_aware__minimax__raw_full,37a8675_1,37a8675_1.fact0015,NUMERIC_OR_DATE_LITERAL,needed,general_task_aware,minimax,RAW_FULL,1500,True,-1,6,657,6,0.375,,0.5,0.0
37a8675_1__37a8675_1.fact0015__needed__general_task_aware__qwen__detail_heavy,37a8675_1,37a8675_1.fact0015,NUMERIC_OR_DATE_LITERAL,needed,general_task_aware,qwen,DETAIL_HEAVY,1500,True,4,6,631,6,0.75,,1.0,0.0
