model_a,prompt_a,init_a,cond_a,model_b,prompt_b,init_b,cond_b,n_types,kendall_tau,kendall_p,spearman_rho,spearman_p
minimax,general_task_agnostic,RAW_FULL,task_agnostic,minimax,general_task_aware,DETAIL_HEAVY,needed,10,0.3333333333333333,0.21637345679012346,0.5272727272727272,0.11730806555020232
minimax,general_task_agnostic,RAW_FULL,task_agnostic,minimax,general_task_aware,FACT_TABLE_ONLY,needed,10,0.19999999999999998,0.4843127204585538,0.18787878787878787,0.6032176100292089
minimax,general_task_agnostic,RAW_FULL,task_agnostic,minimax,general_task_aware,NARRATIVE_HEAVY,needed,10,0.5111111111111111,0.04662257495590829,0.6848484848484848,0.028882797506732765
minimax,general_task_agnostic,RAW_FULL,task_agnostic,minimax,general_task_aware,RAW_FULL,needed,11,0.7454545454545454,0.000759529822029822,0.8727272727272729,0.00045461505140964023
minimax,general_task_agnostic,RAW_FULL,task_agnostic,minimax,general_task_aware,RAW_FULL,unneeded,11,0.38181818181818183,0.12097096961680295,0.690909090909091,0.01856503338159501
minimax,general_task_agnostic,RAW_FULL,task_agnostic,qwen,general_task_agnostic,RAW_FULL,task_agnostic,11,0.5272727272727272,0.02638447971781305,0.7272727272727273,0.011204967253592074
minimax,general_task_agnostic,RAW_FULL,task_agnostic,qwen,general_task_aware,DETAIL_HEAVY,needed,10,0.06666666666666667,0.8618005952380953,0.0303030303030303,0.9337729580941466
minimax,general_task_agnostic,RAW_FULL,task_agnostic,qwen,general_task_aware,FACT_TABLE_ONLY,needed,10,0.022222222222222223,1.0,0.01818181818181818,0.9602404181286242
minimax,general_task_agnostic,RAW_FULL,task_agnostic,qwen,general_task_aware,NARRATIVE_HEAVY,needed,10,0.6,0.016666115520282188,0.7818181818181817,0.0075470077810678785
minimax,general_task_agnostic,RAW_FULL,task_agnostic,qwen,general_task_aware,RAW_FULL,needed,11,0.16363636363636364,0.5422593494468494,0.20000000000000004,0.5554454421055853
minimax,general_task_agnostic,RAW_FULL,task_agnostic,qwen,general_task_aware,RAW_FULL,unneeded,11,0.2,0.4453821448613115,0.3181818181818182,0.34029761418190335
minimax,general_task_aware,DETAIL_HEAVY,needed,minimax,general_task_aware,FACT_TABLE_ONLY,needed,10,0.6,0.016666115520282188,0.8060606060606059,0.004862061101964607
minimax,general_task_aware,DETAIL_HEAVY,needed,minimax,general_task_aware,NARRATIVE_HEAVY,needed,10,0.28888888888888886,0.2912483465608466,0.3696969696969697,0.29305007529282234
minimax,general_task_aware,DETAIL_HEAVY,needed,minimax,general_task_aware,RAW_FULL,needed,10,0.5111111111111111,0.04662257495590829,0.6484848484848483,0.04254012768448949
minimax,general_task_aware,DETAIL_HEAVY,needed,minimax,general_task_aware,RAW_FULL,unneeded,10,0.5555555555555555,0.02860945767195767,0.709090909090909,0.02166592336753244
minimax,general_task_aware,DETAIL_HEAVY,needed,qwen,general_task_agnostic,RAW_FULL,task_agnostic,10,0.3333333333333333,0.21637345679012346,0.4424242424242424,0.20042268671194213
minimax,general_task_aware,DETAIL_HEAVY,needed,qwen,general_task_aware,DETAIL_HEAVY,needed,10,0.37777777777777777,0.1557418430335097,0.5393939393939393,0.10759318778241479
minimax,general_task_aware,DETAIL_HEAVY,needed,qwen,general_task_aware,FACT_TABLE_ONLY,needed,10,0.5111111111111111,0.04662257495590829,0.6242424242424242,0.053717767217167436
minimax,general_task_aware,DETAIL_HEAVY,needed,qwen,general_task_aware,NARRATIVE_HEAVY,needed,10,0.4666666666666666,0.07255015432098766,0.5757575757575757,0.08155281477260244
minimax,general_task_aware,DETAIL_HEAVY,needed,qwen,general_task_aware,RAW_FULL,needed,10,0.15555555555555553,0.6006536596119929,0.1515151515151515,0.6760651759978539
minimax,general_task_aware,DETAIL_HEAVY,needed,qwen,general_task_aware,RAW_FULL,unneeded,10,-0.06666666666666667,0.8618005952380953,-0.12727272727272726,0.7260570147627894
