model,prompt_family,init_type,condition_type,fact_type,coarse_group,n_facts,survival_rate_fixed,survival_score_fixed
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ACTION_OUTCOME,EXECUTABLE,9,0.5555555555555556,0.6444444444444444
minimax,general_task_agnostic,RAW_FULL,task_agnostic,API_SCHEMA_OR_PARAMETER,EXECUTABLE,27,0.18518518518518517,0.18518518518518517
minimax,general_task_agnostic,RAW_FULL,task_agnostic,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,30,0.26666666666666666,0.26666666666666666
minimax,general_task_agnostic,RAW_FULL,task_agnostic,COMPLETED_SUBTASK,TASK_STATE,3,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,EXACT_IDENTIFIER,EXECUTABLE,16,0.75,0.75
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_GOAL,NARRATIVE,2,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_PROGRESS,NARRATIVE,4,0.75,0.75
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,24,0.08333333333333333,0.08333333333333333
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,RUNTIME_VARIABLE,EXECUTABLE,26,0.5384615384615384,0.5538461538461539
minimax,general_task_aware,DETAIL_HEAVY,needed,ACTION_OUTCOME,EXECUTABLE,4,0.5,0.5
minimax,general_task_aware,DETAIL_HEAVY,needed,API_SCHEMA_OR_PARAMETER,EXECUTABLE,14,0.6428571428571429,0.6428571428571429
minimax,general_task_aware,DETAIL_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,20,0.6,0.6
minimax,general_task_aware,DETAIL_HEAVY,needed,COMPLETED_SUBTASK,TASK_STATE,3,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,EXACT_IDENTIFIER,EXECUTABLE,12,0.8333333333333334,0.8333333333333334
