model,prompt_family,init_type,condition_type,fact_type,round,hazard,survival_rate
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ACTION_OUTCOME,0,0.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ACTION_OUTCOME,1,0.3333333399999999,0.6666666666666666
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ACTION_OUTCOME,2,1.4999999797815633e-08,0.6666666666666666
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ACTION_OUTCOME,3,0.16666667916666644,0.5555555555555556
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ACTION_OUTCOME,4,-0.19999997840000017,0.6666666666666666
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ACTION_OUTCOME,5,1.4999999797815633e-08,0.6666666666666666
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ACTION_OUTCOME,6,1.4999999797815633e-08,0.6666666666666666
minimax,general_task_agnostic,RAW_FULL,task_agnostic,API_SCHEMA_OR_PARAMETER,0,0.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,API_SCHEMA_OR_PARAMETER,1,0.4074074133333333,0.5925925925925926
minimax,general_task_agnostic,RAW_FULL,task_agnostic,API_SCHEMA_OR_PARAMETER,2,0.43750000949218737,0.3333333333333333
minimax,general_task_agnostic,RAW_FULL,task_agnostic,API_SCHEMA_OR_PARAMETER,3,0.2222222455555548,0.25925925925925924
minimax,general_task_agnostic,RAW_FULL,task_agnostic,API_SCHEMA_OR_PARAMETER,4,3.857142705232519e-08,0.25925925925925924
minimax,general_task_agnostic,RAW_FULL,task_agnostic,API_SCHEMA_OR_PARAMETER,5,0.428571450612244,0.14814814814814814
minimax,general_task_agnostic,RAW_FULL,task_agnostic,API_SCHEMA_OR_PARAMETER,6,6.749999537092322e-08,0.14814814814814814
minimax,general_task_agnostic,RAW_FULL,task_agnostic,AUTH_OR_ACCESS_TOKEN,0,0.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,AUTH_OR_ACCESS_TOKEN,1,0.2333333409999998,0.7666666666666667
minimax,general_task_agnostic,RAW_FULL,task_agnostic,AUTH_OR_ACCESS_TOKEN,2,0.4347826160680529,0.43333333333333335
minimax,general_task_agnostic,RAW_FULL,task_agnostic,AUTH_OR_ACCESS_TOKEN,3,0.15384617337278073,0.36666666666666664
minimax,general_task_agnostic,RAW_FULL,task_agnostic,AUTH_OR_ACCESS_TOKEN,4,0.09090911570247862,0.3333333333333333
minimax,general_task_agnostic,RAW_FULL,task_agnostic,AUTH_OR_ACCESS_TOKEN,5,0.20000002399999928,0.26666666666666666
minimax,general_task_agnostic,RAW_FULL,task_agnostic,AUTH_OR_ACCESS_TOKEN,6,3.749999855084951e-08,0.26666666666666666
minimax,general_task_agnostic,RAW_FULL,task_agnostic,COMPLETED_SUBTASK,0,0.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,COMPLETED_SUBTASK,1,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,COMPLETED_SUBTASK,2,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,COMPLETED_SUBTASK,3,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,COMPLETED_SUBTASK,4,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,COMPLETED_SUBTASK,5,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,COMPLETED_SUBTASK,6,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ENVIRONMENT_STATE,0,0.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ENVIRONMENT_STATE,1,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ENVIRONMENT_STATE,2,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ENVIRONMENT_STATE,3,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ENVIRONMENT_STATE,4,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ENVIRONMENT_STATE,5,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,ENVIRONMENT_STATE,6,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,EXACT_IDENTIFIER,0,0.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,EXACT_IDENTIFIER,1,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,EXACT_IDENTIFIER,2,0.12500000874999984,0.875
minimax,general_task_agnostic,RAW_FULL,task_agnostic,EXACT_IDENTIFIER,3,0.07142858204081626,0.8125
minimax,general_task_agnostic,RAW_FULL,task_agnostic,EXACT_IDENTIFIER,4,0.07692308828402361,0.75
minimax,general_task_agnostic,RAW_FULL,task_agnostic,EXACT_IDENTIFIER,5,1.3333333215292953e-08,0.75
minimax,general_task_agnostic,RAW_FULL,task_agnostic,EXACT_IDENTIFIER,6,1.3333333215292953e-08,0.75
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_GOAL,0,0.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_GOAL,1,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_GOAL,2,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_GOAL,3,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_GOAL,4,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_GOAL,5,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_GOAL,6,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_PROGRESS,0,0.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_PROGRESS,1,0.25000000749999984,0.75
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_PROGRESS,2,1.3333333215292953e-08,0.75
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_PROGRESS,3,1.3333333215292953e-08,0.75
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_PROGRESS,4,0.3333333422222221,0.5
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_PROGRESS,5,1.9999999656405976e-08,0.5
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NARRATIVE_PROGRESS,6,1.9999999656405976e-08,0.5
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,0,0.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,1,0.833333335,0.16666666666666666
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,2,0.5000000299999983,0.08333333333333333
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,3,1.1999998550393798e-07,0.08333333333333333
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,4,1.1999998550393798e-07,0.08333333333333333
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,5,1.1999998550393798e-07,0.08333333333333333
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,6,1.1999998550393798e-07,0.08333333333333333
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NUMERIC_OR_DATE_LITERAL,0,0.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NUMERIC_OR_DATE_LITERAL,1,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NUMERIC_OR_DATE_LITERAL,2,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NUMERIC_OR_DATE_LITERAL,3,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NUMERIC_OR_DATE_LITERAL,4,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NUMERIC_OR_DATE_LITERAL,5,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,NUMERIC_OR_DATE_LITERAL,6,9.999999828202988e-09,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,RUNTIME_VARIABLE,0,0.038461538461538436,0.9615384615384616
minimax,general_task_agnostic,RAW_FULL,task_agnostic,RUNTIME_VARIABLE,1,0.16000000873599995,0.8076923076923077
minimax,general_task_agnostic,RAW_FULL,task_agnostic,RUNTIME_VARIABLE,2,0.19047620049886616,0.6538461538461539
minimax,general_task_agnostic,RAW_FULL,task_agnostic,RUNTIME_VARIABLE,3,0.05882354380622823,0.6153846153846154
minimax,general_task_agnostic,RAW_FULL,task_agnostic,RUNTIME_VARIABLE,4,0.06250001523437498,0.5769230769230769
minimax,general_task_agnostic,RAW_FULL,task_agnostic,RUNTIME_VARIABLE,5,0.06666668284444421,0.5384615384615384
minimax,general_task_agnostic,RAW_FULL,task_agnostic,RUNTIME_VARIABLE,6,0.07142858867346913,0.5
minimax,general_task_aware,DETAIL_HEAVY,needed,ACTION_OUTCOME,0,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,ACTION_OUTCOME,1,0.500000005,0.5
minimax,general_task_aware,DETAIL_HEAVY,needed,ACTION_OUTCOME,2,1.9999999656405976e-08,0.5
minimax,general_task_aware,DETAIL_HEAVY,needed,ACTION_OUTCOME,3,1.9999999656405976e-08,0.5
minimax,general_task_aware,DETAIL_HEAVY,needed,ACTION_OUTCOME,4,1.9999999656405976e-08,0.5
minimax,general_task_aware,DETAIL_HEAVY,needed,ACTION_OUTCOME,5,1.9999999656405976e-08,0.5
minimax,general_task_aware,DETAIL_HEAVY,needed,ACTION_OUTCOME,6,1.9999999656405976e-08,0.5
minimax,general_task_aware,DETAIL_HEAVY,needed,API_SCHEMA_OR_PARAMETER,0,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,API_SCHEMA_OR_PARAMETER,1,9.999999828202988e-09,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,API_SCHEMA_OR_PARAMETER,2,0.14285715142857136,0.8571428571428571
minimax,general_task_aware,DETAIL_HEAVY,needed,API_SCHEMA_OR_PARAMETER,3,1.1666666632770273e-08,0.8571428571428571
minimax,general_task_aware,DETAIL_HEAVY,needed,API_SCHEMA_OR_PARAMETER,4,0.0833333440277777,0.7857142857142857
minimax,general_task_aware,DETAIL_HEAVY,needed,API_SCHEMA_OR_PARAMETER,5,1.2727272680201906e-08,0.7857142857142857
minimax,general_task_aware,DETAIL_HEAVY,needed,API_SCHEMA_OR_PARAMETER,6,0.18181819223140483,0.6428571428571429
minimax,general_task_aware,DETAIL_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,0,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,1,0.10000000899999983,0.9
minimax,general_task_aware,DETAIL_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,2,0.27777778580246903,0.65
minimax,general_task_aware,DETAIL_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,3,0.07692309112426032,0.6
minimax,general_task_aware,DETAIL_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,4,0.16666668055555534,0.5
minimax,general_task_aware,DETAIL_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,5,1.9999999656405976e-08,0.5
minimax,general_task_aware,DETAIL_HEAVY,needed,AUTH_OR_ACCESS_TOKEN,6,0.10000001799999969,0.45
minimax,general_task_aware,DETAIL_HEAVY,needed,COMPLETED_SUBTASK,0,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,COMPLETED_SUBTASK,1,9.999999828202988e-09,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,COMPLETED_SUBTASK,2,9.999999828202988e-09,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,COMPLETED_SUBTASK,3,9.999999828202988e-09,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,COMPLETED_SUBTASK,4,9.999999828202988e-09,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,COMPLETED_SUBTASK,5,0.3333333399999999,0.6666666666666666
minimax,general_task_aware,DETAIL_HEAVY,needed,COMPLETED_SUBTASK,6,1.4999999797815633e-08,0.6666666666666666
minimax,general_task_aware,DETAIL_HEAVY,needed,ENVIRONMENT_STATE,0,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,ENVIRONMENT_STATE,1,9.999999828202988e-09,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,ENVIRONMENT_STATE,2,9.999999828202988e-09,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,ENVIRONMENT_STATE,3,9.999999828202988e-09,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,ENVIRONMENT_STATE,4,9.999999828202988e-09,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,ENVIRONMENT_STATE,5,9.999999828202988e-09,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,ENVIRONMENT_STATE,6,9.999999828202988e-09,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,EXACT_IDENTIFIER,0,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,EXACT_IDENTIFIER,1,9.999999828202988e-09,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,EXACT_IDENTIFIER,2,9.999999828202988e-09,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,EXACT_IDENTIFIER,3,0.08333334249999991,0.9166666666666666
minimax,general_task_aware,DETAIL_HEAVY,needed,EXACT_IDENTIFIER,4,0.18181819074380157,0.75
minimax,general_task_aware,DETAIL_HEAVY,needed,EXACT_IDENTIFIER,5,0.11111112296296288,0.6666666666666666
minimax,general_task_aware,DETAIL_HEAVY,needed,EXACT_IDENTIFIER,6,0.12500001312499975,0.5833333333333334
minimax,general_task_aware,DETAIL_HEAVY,needed,NARRATIVE_PROGRESS,0,0.0,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,NARRATIVE_PROGRESS,1,0.500000005,0.5
minimax,general_task_aware,DETAIL_HEAVY,needed,NARRATIVE_PROGRESS,2,-0.9999999600000007,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,NARRATIVE_PROGRESS,3,9.999999828202988e-09,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,NARRATIVE_PROGRESS,4,0.500000005,0.5
minimax,general_task_aware,DETAIL_HEAVY,needed,NARRATIVE_PROGRESS,5,1.9999999656405976e-08,0.5
minimax,general_task_aware,DETAIL_HEAVY,needed,NARRATIVE_PROGRESS,6,-0.9999999600000007,1.0
minimax,general_task_aware,DETAIL_HEAVY,needed,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,0,0.0,1.0
