model,prompt_family,init_type,condition_type,round,fact_type,coarse_group,n_facts,survival_rate,survival_score_mean,ci_low,ci_high
minimax,general_task_agnostic,RAW_FULL,task_agnostic,0,ACTION_OUTCOME,EXECUTABLE,9,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,0,API_SCHEMA_OR_PARAMETER,EXECUTABLE,27,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,0,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,30,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,0,COMPLETED_SUBTASK,TASK_STATE,3,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,0,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,0,EXACT_IDENTIFIER,EXECUTABLE,16,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,0,NARRATIVE_GOAL,NARRATIVE,2,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,0,NARRATIVE_PROGRESS,NARRATIVE,4,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,0,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,24,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,0,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,0,RUNTIME_VARIABLE,EXECUTABLE,26,0.9615384615384616,0.9615384615384616,0.8846153846153846,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,1,ACTION_OUTCOME,EXECUTABLE,9,0.6666666666666666,0.7111111111111111,0.3333333333333333,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,1,API_SCHEMA_OR_PARAMETER,EXECUTABLE,27,0.5925925925925926,0.5925925925925926,0.4074074074074074,0.7777777777777778
minimax,general_task_agnostic,RAW_FULL,task_agnostic,1,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,30,0.7666666666666667,0.7666666666666667,0.6,0.9
minimax,general_task_agnostic,RAW_FULL,task_agnostic,1,COMPLETED_SUBTASK,TASK_STATE,3,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,1,ENVIRONMENT_STATE,TASK_STATE,1,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,1,EXACT_IDENTIFIER,EXECUTABLE,16,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,1,NARRATIVE_GOAL,NARRATIVE,2,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,1,NARRATIVE_PROGRESS,NARRATIVE,4,0.75,0.75,0.25,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,1,NEGATIVE_EVIDENCE_OR_FAILED_ATTEMPT,CONTROL,24,0.16666666666666666,0.16666666666666666,0.041666666666666664,0.3333333333333333
minimax,general_task_agnostic,RAW_FULL,task_agnostic,1,NUMERIC_OR_DATE_LITERAL,EXECUTABLE,6,1.0,1.0,1.0,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,1,RUNTIME_VARIABLE,EXECUTABLE,26,0.8076923076923077,0.8076923076923077,0.6538461538461539,0.9615384615384616
minimax,general_task_agnostic,RAW_FULL,task_agnostic,2,ACTION_OUTCOME,EXECUTABLE,9,0.6666666666666666,0.7111111111111111,0.3333333333333333,1.0
minimax,general_task_agnostic,RAW_FULL,task_agnostic,2,API_SCHEMA_OR_PARAMETER,EXECUTABLE,27,0.3333333333333333,0.34814814814814815,0.14814814814814814,0.48148148148148145
minimax,general_task_agnostic,RAW_FULL,task_agnostic,2,AUTH_OR_ACCESS_TOKEN,EXECUTABLE,30,0.43333333333333335,0.43333333333333335,0.26666666666666666,0.6
minimax,general_task_agnostic,RAW_FULL,task_agnostic,2,COMPLETED_SUBTASK,TASK_STATE,3,1.0,1.0,1.0,1.0
