case_id,compressor_model,eval_context_round,greedy_success,greedy_score,greedy_length,greedy_reward,best_sample_id,best_sample_success,best_sample_score,best_sample_length,best_sample_reward,best_of_n_reward,best_of_n_gain_score,best_of_n_gain_reward,oracle_win
0d8a4ee_2,minimax,C1,True,1.0,437.0,0.99126,sample_05,True,1.0,460.0,0.9908,0.99126,0.0,-0.00046000000000001595,False
0d8a4ee_2,minimax,CK,True,1.0,361.0,0.99278,sample_07,True,1.0,361.0,0.99278,0.99278,0.0,0.0,False
37a8675_1,minimax,C1,True,1.0,424.0,0.99152,sample_01,True,1.0,345.0,0.9931,0.9931,0.0,0.0015800000000000258,True
37a8675_1,minimax,CK,True,1.0,392.0,0.99216,sample_01,True,1.0,382.0,0.99236,0.99236,0.0,0.00019999999999997797,True
37a8675_2,minimax,C1,True,1.0,429.0,0.99142,sample_04,True,1.0,387.0,0.99226,0.99226,0.0,0.0008400000000000629,True
37a8675_2,minimax,CK,False,0.0,424.0,-0.00848,sample_02,True,1.0,438.0,0.99124,0.99124,1.0,0.99972,True
37a8675_3,minimax,C1,True,1.0,440.0,0.9912,sample_01,True,1.0,351.0,0.99298,0.99298,0.0,0.0017800000000000038,True
37a8675_3,minimax,CK,True,1.0,377.0,0.99246,sample_03,True,1.0,307.0,0.99386,0.99386,0.0,0.0013999999999999568,True
383cbac_1,minimax,C1,True,1.0,482.0,0.99036,sample_04,True,1.0,438.0,0.99124,0.99124,0.0,0.0008799999999999919,True
383cbac_1,minimax,CK,True,1.0,450.0,0.991,sample_05,True,1.0,383.0,0.99234,0.99234,0.0,0.0013400000000000079,True
383cbac_2,minimax,C1,True,1.0,436.0,0.99128,sample_02,True,1.0,361.0,0.99278,0.99278,0.0,0.0014999999999999458,True
383cbac_2,minimax,CK,False,0.0,381.0,-0.00762,sample_06,True,1.0,377.0,0.99246,0.99246,1.0,1.00008,True
396c5a2_1,minimax,C1,False,0.0,449.0,-0.00898,sample_05,True,1.0,445.0,0.9911,0.9911,1.0,1.00008,True
396c5a2_1,minimax,CK,False,0.0,427.0,-0.00854,sample_04,True,1.0,448.0,0.99104,0.99104,1.0,0.99958,True
396c5a2_2,minimax,C1,False,0.0,463.0,-0.009260000000000001,sample_01,True,1.0,345.0,0.9931,0.9931,1.0,1.00236,True
396c5a2_2,minimax,CK,True,1.0,489.0,0.99022,sample_04,True,1.0,371.0,0.99258,0.99258,0.0,0.0023600000000000287,True
3ab5b8b_1,minimax,C1,False,0.0,470.0,-0.0094,sample_01,True,1.0,467.0,0.99066,0.99066,1.0,1.00006,True
3ab5b8b_1,minimax,CK,True,1.0,446.0,0.99108,sample_04,True,1.0,464.0,0.99072,0.99108,0.0,-0.00035999999999991594,False
4ec8de5_1,minimax,C1,True,1.0,471.0,0.99058,sample_02,True,1.0,418.0,0.99164,0.99164,0.0,0.0010599999999999499,True
4ec8de5_1,minimax,CK,True,1.0,386.0,0.99228,sample_02,True,1.0,395.0,0.9921,0.99228,0.0,-0.000180000000000069,False
4ec8de5_3,minimax,C1,True,1.0,452.0,0.99096,sample_03,True,1.0,479.0,0.99042,0.99096,0.0,-0.0005399999999999849,False
4ec8de5_3,minimax,CK,False,0.0,452.0,-0.009040000000000001,sample_01,True,1.0,422.0,0.99156,0.99156,1.0,1.0006,True
4fab96f_1,minimax,C1,True,1.0,560.0,0.9888,sample_03,True,1.0,491.0,0.99018,0.99018,0.0,0.0013799999999999368,True
4fab96f_1,minimax,CK,True,1.0,498.0,0.99004,sample_04,True,1.0,482.0,0.99036,0.99036,0.0,0.00031999999999998696,True
4fab96f_2,minimax,C1,False,0.0,551.0,-0.01102,sample_07,True,1.0,550.0,0.989,0.989,1.0,1.00002,True
4fab96f_2,minimax,CK,False,0.0,618.0,-0.01236,sample_03,True,1.0,452.0,0.99096,0.99096,1.0,1.00332,True
50e1ac9_1,minimax,C1,True,1.0,513.0,0.98974,sample_06,True,1.0,467.0,0.99066,0.99066,0.0,0.0009200000000000319,True
50e1ac9_1,minimax,CK,True,1.0,567.0,0.98866,sample_06,True,1.0,418.0,0.99164,0.99164,0.0,0.0029799999999999827,True
530b157_3,minimax,C1,True,1.0,375.0,0.9925,sample_00,True,1.0,347.0,0.99306,0.99306,0.0,0.0005600000000000049,True
530b157_3,minimax,CK,True,1.0,318.0,0.99364,sample_06,True,1.0,336.0,0.99328,0.99364,0.0,-0.00035999999999991594,False
57c3486_1,minimax,C1,True,1.0,545.0,0.9891,sample_02,True,1.0,447.0,0.99106,0.99106,0.0,0.001960000000000073,True
57c3486_1,minimax,CK,True,1.0,476.0,0.99048,sample_02,True,1.0,428.0,0.99144,0.99144,0.0,0.0009599999999999609,True
57c3486_2,minimax,C1,True,1.0,535.0,0.9893,sample_01,True,1.0,505.0,0.9899,0.9899,0.0,0.0006000000000000449,True
57c3486_2,minimax,CK,False,0.0,535.0,-0.010700000000000001,sample_07,True,1.0,506.0,0.98988,0.98988,1.0,1.00058,True
57c3486_3,minimax,C1,False,0.0,664.0,-0.01328,sample_05,True,1.0,569.0,0.98862,0.98862,1.0,1.0019,True
