case_id,model,eval_context_round,num_candidates,mean_score,std_score,min_score,max_score,mean_reward,std_reward,min_reward,max_reward,pass_rate_among_samples
0d8a4ee_2,minimax,C1,8,1.0,0.0,1.0,1.0,0.9894700000000001,0.000994333947926959,0.9878,0.9908,1.0
0d8a4ee_2,minimax,CK,8,1.0,0.0,1.0,1.0,0.99146,0.0010303882763308145,0.99012,0.99278,1.0
37a8675_1,minimax,C1,8,0.875,0.33071891388307384,0.0,1.0,0.8660975,0.3311743971742834,-0.0101,0.9931,0.875
37a8675_1,minimax,CK,8,0.625,0.4841229182759271,0.0,1.0,0.6161274999999999,0.4841762886529554,-0.01084,0.99236,0.625
37a8675_2,minimax,C1,8,0.875,0.33071891388307384,0.0,1.0,0.8658375,0.33025787809490625,-0.007940000000000001,0.99226,0.875
37a8675_2,minimax,CK,8,1.0,0.0,1.0,1.0,0.9900675000000001,0.0010388906342825531,0.9877,0.99124,1.0
37a8675_3,minimax,C1,8,1.0,0.0,1.0,1.0,0.9912725,0.0009239013746066194,0.98998,0.99298,1.0
37a8675_3,minimax,CK,8,0.875,0.33071891388307384,0.0,1.0,0.8673625,0.3303810456786981,-0.00674,0.99386,0.875
383cbac_1,minimax,C1,8,0.75,0.4330127018922193,0.0,1.0,0.7401025,0.4330782878923279,-0.01046,0.99124,0.75
383cbac_1,minimax,CK,8,1.0,0.0,1.0,1.0,0.99068,0.00098453034488532,0.98932,0.99234,1.0
383cbac_2,minimax,C1,8,1.0,0.0,1.0,1.0,0.990945,0.0011387602908426286,0.98912,0.99278,1.0
383cbac_2,minimax,CK,8,0.875,0.33071891388307384,0.0,1.0,0.8659025,0.33080541628538973,-0.00932,0.99246,0.875
396c5a2_1,minimax,C1,8,0.75,0.4330127018922193,0.0,1.0,0.7401424999999999,0.43337233719256935,-0.01056,0.9911,0.75
396c5a2_1,minimax,CK,8,0.375,0.4841229182759271,0.0,1.0,0.365435,0.48430275249579163,-0.011000000000000001,0.99104,0.375
396c5a2_2,minimax,C1,8,0.875,0.33071891388307384,0.0,1.0,0.8658250000000001,0.33111110593726695,-0.0102,0.9931,0.875
396c5a2_2,minimax,CK,8,0.875,0.33071891388307384,0.0,1.0,0.8659525,0.3311952517681224,-0.0103,0.99258,0.875
3ab5b8b_1,minimax,C1,8,0.375,0.4841229182759271,0.0,1.0,0.3650875,0.48429802259946303,-0.01054,0.99066,0.375
3ab5b8b_1,minimax,CK,8,0.375,0.4841229182759271,0.0,1.0,0.36607,0.48383680771516346,-0.009940000000000001,0.99072,0.375
4ec8de5_1,minimax,C1,8,1.0,0.0,1.0,1.0,0.9896,0.0011213384859176147,0.98774,0.99164,1.0
4ec8de5_1,minimax,CK,8,0.75,0.4330127018922193,0.0,1.0,0.7401475,0.43275283776510354,-0.0097,0.9921,0.75
4ec8de5_3,minimax,C1,8,0.75,0.4330127018922193,0.0,1.0,0.739795,0.43246802491629366,-0.01008,0.99042,0.75
4ec8de5_3,minimax,CK,8,0.5,0.5,0.0,1.0,0.49044,0.5004955834969975,-0.011559999999999999,0.99156,0.5
4fab96f_1,minimax,C1,8,1.0,0.0,1.0,1.0,0.9887275,0.0007041262315806542,0.98784,0.99018,1.0
4fab96f_1,minimax,CK,8,1.0,0.0,1.0,1.0,0.98925,0.0007839642849008014,0.9883,0.99036,1.0
4fab96f_2,minimax,C1,8,1.0,0.0,1.0,1.0,0.9875449999999999,0.0012932033869426625,0.98462,0.989,1.0
4fab96f_2,minimax,CK,8,0.875,0.33071891388307384,0.0,1.0,0.8629325,0.33129277247436295,-0.013580000000000002,0.99096,0.875
50e1ac9_1,minimax,C1,8,1.0,0.0,1.0,1.0,0.9895275,0.0008991628050581305,0.98778,0.99066,1.0
50e1ac9_1,minimax,CK,8,1.0,0.0,1.0,1.0,0.9900675,0.0013237800988079636,0.98708,0.99164,1.0
530b157_3,minimax,C1,8,0.125,0.33071891388307384,0.0,1.0,0.11728250000000001,0.33101344677180417,-0.00882,0.99306,0.125
530b157_3,minimax,CK,8,0.25,0.4330127018922193,0.0,1.0,0.24314500000000003,0.4329754452333296,-0.00768,0.99328,0.25
57c3486_1,minimax,C1,8,0.5,0.5,0.0,1.0,0.49009749999999996,0.4995429350353681,-0.00974,0.99106,0.5
57c3486_1,minimax,CK,8,0.75,0.4330127018922193,0.0,1.0,0.7403775,0.43270597285425816,-0.01014,0.99144,0.75
57c3486_2,minimax,C1,8,0.625,0.4841229182759271,0.0,1.0,0.6137524999999999,0.4844070571262871,-0.01272,0.9899,0.625
57c3486_2,minimax,CK,8,0.75,0.4330127018922193,0.0,1.0,0.73859,0.43276650771518815,-0.011399999999999999,0.98988,0.75
57c3486_3,minimax,C1,8,0.25,0.4330127018922193,0.0,1.0,0.23783500000000002,0.43332745363639263,-0.01282,0.98862,0.25
57c3486_3,minimax,CK,8,0.25,0.4330127018922193,0.0,1.0,0.23861,0.4326611350699297,-0.0124,0.98844,0.25
6171bbc_2,minimax,C1,8,0.625,0.4841229182759271,0.0,1.0,0.6121074999999999,0.4840361897562516,-0.01348,0.98776,0.625
6171bbc_2,minimax,CK,8,0.5,0.5,0.0,1.0,0.48799250000000005,0.4991478834912055,-0.011819999999999999,0.98798,0.5
6171bbc_3,minimax,C1,8,0.375,0.4841229182759271,0.0,1.0,0.3634075,0.48391139229589336,-0.01318,0.98878,0.375
6171bbc_3,minimax,CK,8,0.5,0.5,0.0,1.0,0.4888725,0.5000895530739969,-0.01336,0.99004,0.5
68ee2c9_2,minimax,C1,8,0.25,0.4330127018922193,0.0,1.0,0.24150749999999999,0.43291640358590017,-0.0091,0.99198,0.25
68ee2c9_2,minimax,CK,8,0.375,0.4841229182759271,0.0,1.0,0.3664025,0.48378124172372583,-0.008960000000000001,0.99278,0.375
6c2c621_1,minimax,C1,8,0.0,0.0,0.0,0.0,-0.01103,0.0008014362108115652,-0.01214,-0.00966,0.0
6c2c621_1,minimax,CK,8,0.125,0.33071891388307384,0.0,1.0,0.11436249999999999,0.33061356255264235,-0.01294,0.98908,0.125
6c2c621_2,minimax,C1,8,0.125,0.33071891388307384,0.0,1.0,0.11239,0.3303075268594405,-0.0169,0.98626,0.125
6c2c621_2,minimax,CK,8,0.0,0.0,0.0,0.0,-0.0128,0.004131464631338383,-0.02028,-0.00788,0.0
6c2c621_3,minimax,C1,8,0.25,0.4330127018922193,0.0,1.0,0.24029,0.43303719713207084,-0.01134,0.9904,0.25
6c2c621_3,minimax,CK,8,0.25,0.4330127018922193,0.0,1.0,0.24087,0.4320954899093486,-0.00964,0.9896,0.25
b119b1f_1,minimax,C1,8,0.5,0.5,0.0,1.0,0.4918625,0.49963762943132095,-0.008199999999999999,0.99176,0.5
b119b1f_1,minimax,CK,8,0.5,0.5,0.0,1.0,0.4921625,0.5001034766363357,-0.00914,0.99388,0.5
b119b1f_2,minimax,C1,8,0.375,0.4841229182759271,0.0,1.0,0.36723249999999996,0.4842583269224701,-0.00918,0.9934,0.375
b119b1f_2,minimax,CK,8,0.5,0.5,0.0,1.0,0.49232750000000003,0.5001082393779871,-0.00818,0.994,0.5
d4e9306_1,minimax,C1,8,0.875,0.33071891388307384,0.0,1.0,0.8656925,0.3313367510460468,-0.010940000000000002,0.99194,0.875
d4e9306_1,minimax,CK,8,1.0,0.0,1.0,1.0,0.9916225000000001,0.0007855849731251085,0.99068,0.99322,1.0
d4e9306_2,minimax,C1,8,0.875,0.33071891388307384,0.0,1.0,0.8647325,0.3304983393207143,-0.00968,0.99118,0.875
d4e9306_2,minimax,CK,8,0.75,0.4330127018922193,0.0,1.0,0.740695,0.4332196770404133,-0.011779999999999999,0.9916,0.75
df61dc5_2,minimax,C1,8,0.625,0.4841229182759271,0.0,1.0,0.6152025,0.48451820981646293,-0.01172,0.99174,0.625
df61dc5_2,minimax,CK,8,0.375,0.4841229182759271,0.0,1.0,0.3662325,0.48480615661700294,-0.01042,0.99294,0.375
fac291d_1,minimax,C1,8,0.875,0.33071891388307384,0.0,1.0,0.864525,0.33047281291355873,-0.00982,0.99096,0.875
fac291d_1,minimax,CK,8,0.875,0.33071891388307384,0.0,1.0,0.8658874999999999,0.3302461627237325,-0.00786,0.99198,0.875
