candidate_id,case_id,model,generation_type,converged_binary,convergence_round,text_similarity_last,length_change_last,token_jaccard_last
0d8a4ee_2__minimax__greedy,0d8a4ee_2,minimax,greedy,False,-1,0.7459349593495935,0.0411413404114134,0.7345132743362832
0d8a4ee_2__minimax__sample_02,0d8a4ee_2,minimax,sample,False,-1,0.6702127659574468,0.12661195779601406,0.5428571428571428
0d8a4ee_2__minimax__sample_01,0d8a4ee_2,minimax,sample,False,-1,0.5829207920792079,0.054184226369656835,0.5409836065573771
0d8a4ee_2__minimax__sample_04,0d8a4ee_2,minimax,sample,False,-1,0.48781558726673985,0.23381155486622723,0.3761467889908257
0d8a4ee_2__minimax__sample_03,0d8a4ee_2,minimax,sample,False,-1,0.7861302276336686,0.06751918158567775,0.5693430656934306
0d8a4ee_2__minimax__sample_00,0d8a4ee_2,minimax,sample,False,-1,0.9304185550519861,0.013419216317767043,0.9212598425196851
37a8675_1__minimax__sample_01,37a8675_1,minimax,sample,True,2,0.9967447916666666,0.006489292667099286,0.9915254237288136
0d8a4ee_2__minimax__sample_07,0d8a4ee_2,minimax,sample,False,-1,0.815653964984552,0.01296043656207367,0.6578947368421053
0d8a4ee_2__minimax__sample_05,0d8a4ee_2,minimax,sample,True,2,1.0,0.0,1.0
37a8675_1__minimax__greedy,37a8675_1,minimax,greedy,False,-1,0.8053949903660886,0.01683937823834197,0.7950819672131147
0d8a4ee_2__minimax__sample_06,0d8a4ee_2,minimax,sample,False,-1,0.5906234896085065,0.11222627737226278,0.5796178343949044
37a8675_1__minimax__sample_03,37a8675_1,minimax,sample,True,2,1.0,0.0,1.0
37a8675_1__minimax__sample_00,37a8675_1,minimax,sample,False,-1,0.7232164746261338,0.1306141154903758,1.0
37a8675_1__minimax__sample_06,37a8675_1,minimax,sample,True,1,1.0,0.0,1.0
37a8675_1__minimax__sample_02,37a8675_1,minimax,sample,True,2,1.0,0.0,1.0
37a8675_1__minimax__sample_04,37a8675_1,minimax,sample,True,1,0.9987714987714987,0.001229256299938537,0.9923664122137404
37a8675_1__minimax__sample_07,37a8675_1,minimax,sample,False,-1,0.8296390120329322,0.05732899022801303,0.6992481203007519
37a8675_2__minimax__greedy,37a8675_2,minimax,greedy,False,-1,0.9435336976320583,0.0652037617554859,0.837037037037037
37a8675_1__minimax__sample_05,37a8675_1,minimax,sample,False,-1,0.7330002172496198,0.10731907894736842,0.594059405940594
37a8675_2__minimax__sample_02,37a8675_2,minimax,sample,True,2,0.994554313556893,0.01095100864553314,1.0
37a8675_2__minimax__sample_00,37a8675_2,minimax,sample,False,-1,0.9284646594063635,0.10756075607560756,0.8324324324324325
37a8675_2__minimax__sample_01,37a8675_2,minimax,sample,True,2,1.0,0.0,1.0
37a8675_2__minimax__sample_04,37a8675_2,minimax,sample,False,-1,0.7677553136340073,0.08915304606240713,0.774390243902439
37a8675_2__minimax__sample_05,37a8675_2,minimax,sample,True,2,0.981081081081081,0.00977729494839761,0.9448275862068966
37a8675_2__minimax__sample_03,37a8675_2,minimax,sample,True,1,1.0,0.0,1.0
37a8675_3__minimax__sample_01,37a8675_3,minimax,sample,True,1,1.0,0.0,1.0
37a8675_2__minimax__sample_06,37a8675_2,minimax,sample,True,2,1.0,0.0,1.0
37a8675_3__minimax__sample_00,37a8675_3,minimax,sample,False,-1,0.7823772915434654,0.038577456298975285,0.636986301369863
37a8675_3__minimax__greedy,37a8675_3,minimax,greedy,True,2,1.0,0.0,1.0
37a8675_3__minimax__sample_03,37a8675_3,minimax,sample,False,-1,0.6170212765957447,0.228643216080402,0.4900662251655629
37a8675_2__minimax__sample_07,37a8675_2,minimax,sample,True,2,1.0,0.0,1.0
37a8675_3__minimax__sample_06,37a8675_3,minimax,sample,True,2,1.0,0.0,1.0
37a8675_3__minimax__sample_02,37a8675_3,minimax,sample,False,-1,0.47895500725689405,0.23242688558234992,0.43636363636363634
37a8675_3__minimax__sample_07,37a8675_3,minimax,sample,True,2,0.9989004947773502,0.002196595277320154,1.0
37a8675_3__minimax__sample_04,37a8675_3,minimax,sample,True,1,1.0,0.0,1.0
37a8675_3__minimax__sample_05,37a8675_3,minimax,sample,False,-1,0.3729189789123196,0.22899262899262898,0.3620689655172414
383cbac_1__minimax__greedy,383cbac_1,minimax,greedy,True,1,0.9940797940797941,0.011910926980838944,0.9736842105263158
383cbac_1__minimax__sample_01,383cbac_1,minimax,sample,False,-1,0.8821047406304294,0.08051453072891854,0.8414634146341463
383cbac_1__minimax__sample_04,383cbac_1,minimax,sample,True,2,0.9806178073894609,0.019571865443425075,0.8478260869565217
383cbac_1__minimax__sample_00,383cbac_1,minimax,sample,True,1,1.0,0.0,1.0
383cbac_1__minimax__sample_02,383cbac_1,minimax,sample,True,2,1.0,0.0,1.0
383cbac_2__minimax__greedy,383cbac_2,minimax,greedy,False,-1,0.6078431372549019,0.06605504587155964,0.5738636363636364
383cbac_1__minimax__sample_03,383cbac_1,minimax,sample,True,1,1.0,0.0,1.0
383cbac_1__minimax__sample_05,383cbac_1,minimax,sample,False,-1,0.7484394506866417,0.08258527827648116,0.6209150326797386
383cbac_1__minimax__sample_06,383cbac_1,minimax,sample,True,2,1.0,0.0,1.0
383cbac_2__minimax__sample_01,383cbac_2,minimax,sample,True,2,1.0,0.0,1.0
383cbac_1__minimax__sample_07,383cbac_1,minimax,sample,True,2,1.0,0.0,1.0
383cbac_2__minimax__sample_02,383cbac_2,minimax,sample,False,-1,0.9393122049898853,0.039889958734525444,0.7983193277310925
383cbac_2__minimax__sample_00,383cbac_2,minimax,sample,True,1,0.9906090689562651,0.006951871657754011,0.922077922077922
383cbac_2__minimax__sample_06,383cbac_2,minimax,sample,True,1,1.0,0.0,1.0
383cbac_2__minimax__sample_03,383cbac_2,minimax,sample,False,-1,0.4844215659712815,0.18979892103972534,0.43
383cbac_2__minimax__sample_04,383cbac_2,minimax,sample,False,-1,0.7394004860923575,0.08737316798196167,0.569620253164557
396c5a2_1__minimax__greedy,396c5a2_1,minimax,greedy,True,2,1.0,0.0,1.0
383cbac_2__minimax__sample_05,383cbac_2,minimax,sample,False,-1,0.9459868753154972,0.08042635658914729,0.8980891719745223
383cbac_2__minimax__sample_07,383cbac_2,minimax,sample,True,2,1.0,0.0,1.0
396c5a2_1__minimax__sample_02,396c5a2_1,minimax,sample,True,2,0.9784428100431144,0.01173469387755102,0.9050279329608939
396c5a2_1__minimax__sample_03,396c5a2_1,minimax,sample,True,2,1.0,0.0,1.0
396c5a2_1__minimax__sample_04,396c5a2_1,minimax,sample,True,2,1.0,0.0,1.0
396c5a2_1__minimax__sample_00,396c5a2_1,minimax,sample,True,1,1.0,0.0,1.0
396c5a2_1__minimax__sample_01,396c5a2_1,minimax,sample,True,2,1.0,0.0,1.0
396c5a2_1__minimax__sample_05,396c5a2_1,minimax,sample,True,1,1.0,0.0,1.0
396c5a2_1__minimax__sample_06,396c5a2_1,minimax,sample,True,2,1.0,0.0,1.0
396c5a2_2__minimax__sample_01,396c5a2_2,minimax,sample,True,1,0.9996378123868164,0.0007246376811594203,1.0
396c5a2_2__minimax__sample_02,396c5a2_2,minimax,sample,True,1,1.0,0.0,1.0
396c5a2_1__minimax__sample_07,396c5a2_1,minimax,sample,True,2,1.0,0.0,1.0
396c5a2_2__minimax__sample_00,396c5a2_2,minimax,sample,True,1,0.9997319753417314,0.0005361930294906167,1.0
396c5a2_2__minimax__greedy,396c5a2_2,minimax,greedy,True,2,1.0,0.0,1.0
